n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
100,0.6233805048488652,0.3032439877738472,0.8051733690847775,1.0,0.0,0.0,1.2619981579521433,1.0,100,8.4395016333207,,,,,,0.0,0,,35,2035,171.86828804016113
110,0.5793319974947303,0.3387106728433316,0.8051733690847775,0.9293392927569748,9.646696463784874,6.0135625117179785,1.098746962903082,1.0,110,8.4395016333207,100.0,,,0.005395284853875637,1.247092457022518,0.068546321708709,1272,5.3888617695525944e-05,35,2035,171.86828804016113
120,0.5482240702029473,0.36375794746610085,0.8051733690847775,0.8794373034425593,18.690579444782543,11.651342850206365,0.7335270888442764,,120,8.4395016333207,110.0,,,0.006427972111850977,1.2964827110990882,0.15384619357064366,2619,5.8742341951372153e-05,35,2035,171.86828804016113
130,0.5482240702029473,0.36375794746610085,0.8051733690847775,0.8794373034425593,27.484952479208136,17.133583552235837,0.7335270888442764,,130,8.4395016333207,120.0,,,0.006316172890365124,1.2691085478290915,0.2562269400805235,4035,6.350110039170347e-05,35,2035,171.86828804016113
140,0.541176564450266,0.36943241141663163,0.8051733690847775,0.868132000023759,36.22279899653972,22.580586725501902,0.7060687048941817,0.6769508667482741,140,8.4395016333207,130.0,,,0.005804766900837421,1.271558505948633,0.35811263928189874,5451,6.569668671471267e-05,35,2035,171.86828804016113
150,0.541176564450266,0.36943241141663163,0.8051733690847775,0.868132000023759,44.904118996777314,27.99235237000456,0.7060687048941817,0.6769508667482741,150,8.4395016333207,140.0,,,0.005743581335991621,1.2925926917232573,0.4584116074256599,6867,6.675573138570845e-05,35,2035,171.86828804016113
160,0.539970221247231,0.3704037268376918,0.8051733690847775,0.866196836518241,53.57576317948731,33.398086298492046,0.6871663656572207,0.4619912423813565,160,8.4395016333207,150.0,,,0.0038749026134610176,1.296755360905081,0.5607561296783388,8283,6.769964139542904e-05,35,2035,171.86828804016113
170,0.5353047616905555,0.374160230627269,0.8051733690847775,0.8587127084128768,62.200310904142896,38.77446121318098,0.6709161188808159,0.44270195711498955,170,8.4395016333207,160.0,,,0.0034736129455268383,1.5147235849872231,0.662221775855869,9699,6.827732507019992e-05,35,2035,171.86828804016113
180,0.5342920174781449,0.37497566529679677,0.8051733690847775,0.8570881080210886,70.77931498631273,44.12244510902448,0.6709161188808159,0.6994221792277583,180,8.4395016333207,170.0,,,0.0036023827269673347,1.27818253217265,0.7636529169976711,11115,6.870471587923267e-05,35,2035,171.86828804016113
190,0.5342920174781449,0.37497566529679677,0.8051733690847775,0.8570881080210886,79.35019606652361,49.46536528380593,0.6709161188808159,0.6994221792277583,190,8.4395016333207,180.0,,,0.0031239520758390427,1.2846649326384068,0.8644370567053556,12531,6.898388450286136e-05,35,2035,171.86828804016113
