problem,model,cv_folds,fold,budget,split,target,rmse,nrmse,mae,r2,n_valid
mdgnc_edge_failures,BLR,10,8,275,train,f0,0.7473997052637243,0.3875763152326907,0.5792218100446629,0.8497845998706499,275
mdgnc_edge_failures,BLR,10,8,275,train,f1,0.9635662981460748,0.07895633068780086,0.764245902261257,0.9937658978443187,275
mdgnc_edge_failures,BLR,10,8,275,test,f0,0.9873724433022409,0.5284358190808975,0.7451608446662421,0.7207555851123009,4500
mdgnc_edge_failures,BLR,10,8,275,test,f1,1.5388761304180671,0.12333906665923021,1.186836829421793,0.98478747463563,4500
