problem,regime,budget,model,rmse,n_predictions
mdgnc,B,200,KPLS,0.7495120856641785,11668
mdgnc,B,200,MG LD-WLOA,0.45719882377675103,11668
mdgnc,B,225,BLR,0.8799319675703371,8648
mdgnc,B,225,ESP,0.6840826474662927,8648
mdgnc,B,225,Hierarchical,0.7025572416497452,8648
mdgnc,B,225,KPLS,0.7391030150617186,8648
mdgnc,B,225,MG LD-WLOA,0.4936477935630845,8648
mdgnc,B,250,BLR,0.9098205407532317,8573
mdgnc,B,250,ESP,0.6126491884574223,8573
mdgnc,B,250,Hierarchical,0.7022758156484087,8573
mdgnc,B,250,KPLS,0.7675989328865437,8573
mdgnc,B,250,MG LD-WLOA,0.4868748995735716,8573
mdgnc,B,275,BLR,0.948890853455953,8573
mdgnc,B,275,ESP,0.6864554328973245,8573
mdgnc,B,275,Hierarchical,0.854946992674896,8573
mdgnc,B,275,KPLS,0.8031544360810788,8573
mdgnc,B,275,MG LD-WLOA,0.4805408751292781,8573
mdgnc,B,300,BLR,0.9893076455468667,8573
mdgnc,B,300,ESP,0.6617051612721897,8573
mdgnc,B,300,Hierarchical,0.7804477425743863,8573
mdgnc,B,300,KPLS,0.8147930448140107,8573
mdgnc,B,300,MG LD-WLOA,0.48794252202681737,8573
mdgnc,T,25,BLR,0.4502187402235728,2719
mdgnc,T,25,ESP,0.29624886873303574,2719
mdgnc,T,25,Hierarchical,0.19571700953862534,2719
mdgnc,T,25,KPLS,0.7975920643104047,2719
mdgnc,T,25,MG LD-WLOA,0.14809655999238727,2719
mdgnc,T,50,BLR,1.0270568316451656,5314
mdgnc,T,50,ESP,0.1649517924061215,5314
mdgnc,T,50,Hierarchical,0.161737584009622,5314
mdgnc,T,50,KPLS,0.6232334180980202,5314
mdgnc,T,50,MG LD-WLOA,0.17487911895375421,5314
mdgnc,T,75,BLR,0.34744753570022857,8076
mdgnc,T,75,ESP,0.2218848876111044,8076
mdgnc,T,75,Hierarchical,0.22754234904937745,8076
mdgnc,T,75,KPLS,0.5376605429824269,8076
mdgnc,T,75,MG LD-WLOA,0.22391680000581016,8076
mdgnc,T,100,BLR,1.1575952461372738,10681
mdgnc,T,100,ESP,0.2811022867455593,10681
mdgnc,T,100,Hierarchical,0.20915208769129034,10681
mdgnc,T,100,KPLS,0.46515937928222806,10681
mdgnc,T,100,MG LD-WLOA,0.19538622056457813,10681
mdgnc,T,125,BLR,1.1422522099743295,12623
mdgnc,T,125,ESP,0.16955608771574354,12623
mdgnc,T,125,Hierarchical,0.15686907326348137,12623
mdgnc,T,125,KPLS,0.4406356062855556,12623
mdgnc,T,125,MG LD-WLOA,0.15228216841554718,12623
mdgnc,T,150,BLR,1.0391869381506564,15762
mdgnc,T,150,ESP,0.24334884595866144,15762
mdgnc,T,150,Hierarchical,0.26243978701970716,15762
mdgnc,T,150,KPLS,0.3930833128700781,15762
mdgnc,T,150,MG LD-WLOA,0.1641441352650002,15762
mdgnc,T,175,BLR,1.267569968545167,18553
mdgnc,T,175,ESP,0.3440943767346309,18553
mdgnc,T,175,Hierarchical,0.20983934990325276,18553
mdgnc,T,175,KPLS,0.4885045287235998,18553
mdgnc,T,175,MG LD-WLOA,0.16962589309708148,18553
mdgnc,T,200,BLR,1.2863345378643947,20640
mdgnc,T,200,ESP,0.2247368894317465,20640
mdgnc,T,200,Hierarchical,0.2813034633813771,20640
mdgnc,T,200,KPLS,0.4504915149447728,20640
mdgnc,T,200,MG LD-WLOA,0.15479477925246468,20640
mdgnc,T,225,BLR,1.325466891544053,23068
mdgnc,T,225,ESP,0.3734831448430612,23068
mdgnc,T,225,Hierarchical,0.2601912449774931,23068
mdgnc,T,225,KPLS,0.4369878347880183,23068
