n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
100,0.1934835257665899,0.649385586780891,0.8051733690847775,1.0,0.0,0.0,0.6002041398597044,0.6586038774849705,100,7.709548793974729,,,,,,0.0,0,,0,2000,33664.64911723137
110,0.1588526429825214,0.6772694513465194,0.8051733690847775,0.8210137909837055,9.105068954918528,1.761680843745557,0.4306253637620139,0.9367135772619928,110,7.709548793974729,100.0,,,70.57486088573933,11.403426231816413,7.947500976733863,5155,0.0015417072699774,0,2000,33664.64911723137
120,0.1587976539341749,0.6773137270638393,0.8051733690847775,0.8207295856585822,17.313785838129967,3.3499323283290394,0.430432424619604,1.0101923776970612,120,7.709548793974729,110.0,,,33.527721064165235,12.616184102371337,17.21961051877588,10407,0.001654618095395,0,2000,33664.64911723137
130,0.1523470635271825,0.6825075706744234,0.8051733690847775,0.7873903626863166,25.354385579854466,4.905655915635827,0.4261909514066486,0.9974754978714218,130,7.709548793974729,120.0,,,35.53026262763888,13.101432680152357,28.10147164668888,14359,0.0019570632806385,0,2000,33664.64911723137
140,0.1523470635271825,0.6825075706744234,0.8051733690847775,0.7873903626863166,33.228289206717626,6.429126550907652,0.4261909514066486,0.9974754978714218,140,7.709548793974729,130.0,,,37.687504070810974,14.864591654390097,40.06400333344936,19819,0.00202149469365,0,2000,33664.64911723137
150,0.15232611163513,0.682524440579936,0.8051733690847775,0.7872820749549994,41.10165139492421,7.952492426719214,0.4261909514066486,0.9725790848495216,150,7.709548793974729,140.0,,,46.958296259865165,16.747336459346116,53.61972464155406,25403,0.0021107634783905,0,2000,33664.64911723137
160,0.1451060218851022,0.6883378645690603,0.8051733690847775,0.7499657725906432,48.78789063265242,9.439653094320375,0.3184860567275811,0.9433580120370504,160,7.709548793974729,150.0,,,53.78569575585425,17.857133451849222,68.33348333183676,30982,0.002205586577104,0,2000,33664.64911723137
170,0.1445945567147531,0.6887496827034398,0.8051733690847775,0.7473223166771608,56.27433107899144,10.888155987319651,0.3159166055226199,0.9385386582101496,170,7.709548793974729,160.0,,,65.10938158538193,24.91856698039919,89.06734363082796,36754,0.0024233374226159,0,2000,33664.64911723137
180,0.1445945567147531,0.6887496827034398,0.8051733690847775,0.7473223166771608,63.74755424576304,12.334101554467184,0.3159166055226199,0.9385386582101496,180,7.709548793974729,170.0,,,87.28640347812325,23.66395013220608,108.49160127993672,42393,0.0025591866883668,0,2000,33664.64911723137
190,0.138820624072751,0.6933986995016692,0.8051733690847775,0.7174803308071727,71.07156748318471,13.751177458404705,0.3101053982250003,0.919323935492371,190,7.709548793974729,180.0,,,93.06367009691894,21.036045332439244,126.38881889730692,47753,0.0026467199735578,0,2000,33664.64911723137
200,0.138820624072751,0.6933986995016692,0.8051733690847775,0.7174803308071727,78.24637079125644,15.139383699132216,0.3101053982250003,0.919323935492371,200,7.709548793974729,190.0,,,99.99866568297148,30.48467177245766,153.49605626333505,53994,0.0028428354310355,0,2000,33664.64911723137
210,0.138820624072751,0.6933986995016692,0.8051733690847775,0.7174803308071727,85.42117409932817,16.527589939859727,0.3101053982250003,0.919323935492371,210,7.709548793974729,200.0,,,113.41327838785946,22.740830899216235,172.786588489078,59364,0.0029106291437416,0,2000,33664.64911723137
220,0.138820624072751,0.6933986995016692,0.8051733690847775,0.7174803308071727,92.5959774073999,17.915796180587236,0.3101053982250003,0.919323935492371,220,7.709548793974729,210.0,,,129.24278591107577,28.052773143164814,197.65498916897923,65010,0.0030403782367171,0,2000,33664.64911723137
230,0.138820624072751,0.6933986995016692,0.8051733690847775,0.7174803308071727,99.77078071547164,19.304002421314745,0.3101053982250003,0.919323935492371,230,7.709548793974729,220.0,,,145.2509702919051,31.77409098763019,225.9572305697948,71113,0.0031774391541602,0,2000,33664.64911723137
240,0.1387042658924007,0.6934923880097624,0.8051733690847775,0.7168789453409461,106.94257709621222,20.691626871140503,0.3097292635191854,0.9530355106696274,240,7.709548793974729,230.0,,,160.94518999475986,29.18156809732318,251.68361024279147,76908,0.0032725283487126,0,2000,33664.64911723137
250,0.1308177149181023,0.6998424288281971,0.8051733690847775,0.6761181056619523,113.90756235122672,22.039236775193014,0.3021948073813089,0.9555433012765766,250,7.709548793974729,240.0,,,167.29234419483691,33.92893489357084,281.58709813747555,83026,0.0033915532259469,0,2000,33664.64911723137
260,0.1308177149181023,0.6998424288281971,0.8051733690847775,0.6761181056619523,120.66874340784624,23.34741392437404,0.3021948073813089,0.9555433012765766,260,7.709548793974729,250.0,,,184.41423315927383,29.412161517888308,307.6034018751234,88663,0.0034693547689016,0,2000,33664.64911723137
270,0.1252085404821067,0.7043587867066119,0.8051733690847775,0.6471276558871109,127.28497221559157,24.62754520137509,0.3178544597096743,0.9706420876382402,270,7.709548793974729,260.0,,,213.79738249816,31.68813439551741,335.60145232081413,94498,0.0035514132819828,0,2000,33664.64911723137
280,0.1231948121113117,0.7059801871633465,0.8051733690847775,0.6367199048250163,133.7042100191522,25.869561964342186,0.2373770097144214,0.9561087471163032,280,7.709548793974729,270.0,,,233.4734300673008,33.07802020572126,365.45456294249743,100300,0.0036436147850697,0,2000,33664.64911723137
290,0.1226559552173044,0.7064140603841489,0.8051733690847775,0.6339348775630194,140.05748393109235,27.098815800985264,0.236817764927575,0.9430490472417984,290,7.709548793974729,280.0,,,246.01150249689815,33.66991756949574,395.7980665490031,106180,0.0037276141132887,0,2000,33664.64911723137
300,0.1226559552173044,0.7064140603841489,0.8051733690847775,0.6339348775630194,146.3968327067225,28.325375353158307,0.236817764927575,0.9430490472417984,300,7.709548793974729,290.0,,,256.7905409345404,39.0985655663535,431.4538976633921,112460,0.0038365098493988,0,2000,33664.64911723137
310,0.1179479053806583,0.7102048567329403,0.8051733690847775,0.6096017989818189,152.61451608944674,29.528394656148123,0.22973537663019,0.9271076504079184,310,7.709548793974729,300.0,,,270.9360564313829,30.27439882513136,458.66728135664016,118059,0.0038850683247921,0,2000,33664.64911723137
320,0.1179371681400146,0.710213502073164,0.8051733690847775,0.6095463046414037,158.71025660756283,30.707820023751488,0.2299069613064404,0.9267519440923904,320,7.709548793974729,310.0,,,244.85237696301192,15.40027746744454,472.2882915614173,120733,0.003911840934636,0,2000,33664.64911723137
330,0.117912946223712,0.7102330049151191,0.8051733690847775,0.6094211161210548,164.80509371137515,31.887070595570123,0.2297633912878267,0.9664938125086444,330,7.709548793974729,320.0,,,285.9108488429338,42.00309638213366,510.7270733024925,127065,0.004019415836796,0,2000,33664.64911723137
