problem,model,cv_folds,fold,budget,split,target,rmse,nrmse,mae,r2,n_valid
mdgnc_edge_failures,MG LdWLOA + EW,10,3,275,train,f0,4.347541387053848e-12,2.294676294901225e-12,3.36088167397396e-12,1.0,275
mdgnc_edge_failures,MG LdWLOA + EW,10,3,275,train,f1,6.255672985041601e-11,5.574039713871323e-12,4.8804635484471376e-11,1.0,275
mdgnc_edge_failures,MG LdWLOA + EW,10,3,275,test,f0,0.17910643336141735,0.09531874197095831,0.09566041356582593,0.9909143374290739,4500
mdgnc_edge_failures,MG LdWLOA + EW,10,3,275,test,f1,1.1170774177989033,0.08833467686896192,0.6457510787221395,0.9921969848624561,4500
