n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,surrogate.recon_train.adj_precision,surrogate.recon_train.adj_recall,surrogate.recon_train.adj_f1,surrogate.recon_train.adj_edge_rate,surrogate.recon_train.feature_mae,surrogate.recon_train.feature_rmse,surrogate.recon_train.n_graphs,surrogate.recon_infill.adj_precision,surrogate.recon_infill.adj_recall,surrogate.recon_infill.adj_f1,surrogate.recon_infill.adj_edge_rate,surrogate.recon_infill.feature_mae,surrogate.recon_infill.feature_rmse,surrogate.recon_infill.n_graphs,run,seed,runtime_sec
75,2.5872474214817442,1.0,0.0,0.0,9.227365569641174,6.64011814815943,75,9.227365569641174,,32.65027438401012,3.098000888712704e-06,,,0.0,0,,,,,,,,,,,,,,,,,,,,,3,55,1392.2275669574738
85,2.457857109697115,0.9499892006035797,9.749946003017898,25.225522655894295,9.097975257856545,6.64011814815943,85,9.097975257856545,28.0,32.65027438401012,3.098000888712704e-06,0.8990806459914893,52.939246173002175,35.930712594112265,5477,0.006560290778548889,0.014907441729587214,0.12209603486431168,0.07731749312233396,28.0,168.0,0.0417418966868094,1.0,0.07999536607946668,0.0417418966868094,0.49252945504018236,0.49357892892190386,28.0,0.0322420634329319,1.0,0.0624699667096138,0.0322420634329319,0.4925064510769314,0.49355800946553546,9.0,3,55,1392.2275669574738
95,2.457857109697115,0.9499892006035797,19.249838009053697,49.80409375286545,9.097975257856545,6.64011814815943,95,9.097975257856545,36.0,32.65027438401012,3.098000888712704e-06,0.5682180500007235,76.22527475999959,76.37616844891454,11641,0.0065609628424460565,0.014207565513777588,0.11919549284170769,0.07841787279225512,36.0,216.0,0.03963082263039218,1.0,0.07610083288616604,0.03963082263039218,0.49251723868979347,0.4935707540975677,36.0,0.032671520859003066,1.0,0.06327522546052933,0.032671520859003066,0.49244748055934906,0.49356999397277834,10.0,3,55,1392.2275669574738
105,2.457857109697115,0.9499892006035797,28.749730015089494,74.3826648498366,9.097975257856545,6.64011814815943,105,9.097975257856545,46.0,32.65027438401012,3.098000888712704e-06,0.6779267849924508,40.21915202699893,105.22056593695015,16034,0.006562340397714242,0.011022498008207995,0.10498808507734578,0.0645026663270569,46.0,276.0,0.03811793094095976,1.0,0.07331265735885371,0.03811793094095976,0.49250207387882733,0.4935705888530482,46.0,0.0322420634329319,1.0,0.0624699667096138,0.0322420634329319,0.4925101697444916,0.49353480339050293,1.0,3,55,1392.2275669574738
115,2.457857109697115,0.9499892006035797,38.24962202112529,98.96123594680776,9.097975257856545,6.64011814815943,115,9.097975257856545,49.0,32.65027438401012,3.098000888712704e-06,0.7182710240012966,110.54748155399284,155.0681310029322,23110,0.006710001341537525,0.010383691808197332,0.10190040141332778,0.06253004660235181,49.0,294.0,0.037625035195022215,1.0,0.07239809176143334,0.037625035195022215,0.49250718525477816,0.4935736047978304,49.0,0.0322420634329319,1.0,0.0624699667096138,0.0322420634329319,0.4924380719661713,0.4935526192188263,10.0,3,55,1392.2275669574738
125,0.3826754077113277,0.14790831542974942,43.739109601291936,113.16389853384997,7.0227935558707575,6.64011814815943,125,7.0227935558707575,51.0,32.65027438401012,3.098000888712704e-06,0.7187353679910302,90.32453257399902,204.55584840277152,29460,0.006943511486855788,0.01035467932709705,0.10175794478612984,0.06207581865438715,51.0,306.0,0.03741393826317554,1.0,0.07200875352410709,0.03741393826317554,0.49249943857099493,0.4935694821909362,51.0,0.029664794728159905,1.0,0.05761508569121361,0.029664794728159905,0.4924317568540573,0.49356877207756045,10.0,3,55,1392.2275669574738
135,0.3826754077113277,0.14790831542974942,45.21819275558943,116.99065261096325,7.0227935558707575,6.64011814815943,135,7.0227935558707575,61.0,32.65027438401012,3.098000888712704e-06,0.8768372659978922,48.44060925200756,237.80704571770912,34866,0.006820600175463464,0.008235322724553252,0.0907486789135426,0.053948771580540594,61.0,366.0,0.03614358686399265,1.0,0.06964913584658357,0.03614358686399265,0.4924883432075626,0.4935693657789074,61.0,0.0322420634329319,1.0,0.0624699667096138,0.0322420634329319,0.4926473438739777,0.4936023265123367,10.0,3,55,1392.2275669574738
145,0.3826754077113277,0.14790831542974942,46.69727590988692,120.81740668807653,7.0227935558707575,6.64011814815943,145,7.0227935558707575,66.0,32.65027438401012,3.098000888712704e-06,0.8289274849958019,40.293387416997575,268.51982193767617,39775,0.006750969753304241,0.00811782325947313,0.09009896369810881,0.053639713525538084,66.0,396.0,0.035848016907094105,1.0,0.06910525939681313,0.035848016907094105,0.4924969104203311,0.49357047360954864,66.0,0.03331570699810982,1.0,0.06448311358690262,0.03331570699810982,0.49277695417404177,0.4937220484018326,10.0,3,55,1392.2275669574738
155,0.3826754077113277,0.14790831542974942,48.17635906418441,124.64416076518981,7.0227935558707575,6.64011814815943,155,7.0227935558707575,68.0,32.65027438401012,3.098000888712704e-06,0.829917501003365,45.10875802800001,302.1952924795478,45042,0.006709189034224674,0.00877623603705689,0.09368156722139574,0.057803575931545975,68.0,408.0,0.035773537203888685,1.0,0.06896931393181577,0.035773537203888685,0.4925000316956464,0.4935720295590513,68.0,0.033208342641592024,1.0,0.06428179889917374,0.033208342641592024,0.4925332099199295,0.49360419511795045,10.0,3,55,1392.2275669574738
165,0.3826754077113277,0.14790831542974942,49.6554422184819,128.47091484230307,7.0227935558707575,6.64011814815943,165,7.0227935558707575,72.0,32.65027438401012,3.098000888712704e-06,1.090295521004009,48.89997527700325,335.32485076969897,50470,0.0066440430110897356,0.008104502599865891,0.09002501096842971,0.05116217055649433,72.0,432.0,0.03563699108134541,1.0,0.0687200805793206,0.03563699108134541,0.49249594782789546,0.4935699523323112,72.0,0.03236461579799652,1.0,0.0626933753490448,0.03236461579799652,0.492512047290802,0.493587064743042,10.0,3,55,1392.2275669574738
