problem,model,cv_folds,fold,budget,split,target,rmse,nrmse,mae,r2,n_valid
mdgnc,MG LdWLOA,10,7,300,train,f0,1.843921261841566e-12,8.464415387463793e-13,1.191498751514549e-12,1.0,300
mdgnc,MG LdWLOA,10,7,300,train,f1,2.2040392681823542e-11,1.930571170791328e-12,1.667359583734651e-11,1.0,300
mdgnc,MG LdWLOA,10,7,300,test,f0,0.2352894235244441,0.12158516494738172,0.11899765185656702,0.985217047664718,4500
mdgnc,MG LdWLOA,10,7,300,test,f1,0.5988444272315973,0.05261432892260799,0.31674095150684833,0.9972317323920236,4500
