problem,model,cv_folds,fold,budget,weight_name,weight_value
mdgnc_edge_failures,MG LdWLOA + EW,10,0,100,f0_failure_rate.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.3207608794771752
mdgnc_edge_failures,MG LdWLOA + EW,10,0,100,f0_failure_rate.interaction.graph_1_edge_weight_sizing,0.1104421701008631
mdgnc_edge_failures,MG LdWLOA + EW,10,0,100,f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type,0.005074936006554
mdgnc_edge_failures,MG LdWLOA + EW,10,0,100,f1_mass.graph_1.edge_weight,0.136822197274424
mdgnc_edge_failures,MG LdWLOA + EW,10,0,100,f1_mass.sizing,0.3823651435633935
mdgnc_edge_failures,MG LdWLOA + EW,10,0,100,f1_mass.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_graph_1_edge_weight,0.0732059594051366
mdgnc_edge_failures,MG LdWLOA + EW,10,0,100,f1_mass.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.0705291360659995
mdgnc_edge_failures,MG LdWLOA + EW,10,0,100,f1_mass.interaction.graph_1_edge_weight_sizing,0.3320026276844922
mdgnc_edge_failures,MG LdWLOA + EW,10,0,125,f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type,0.0036043596973358
mdgnc_edge_failures,MG LdWLOA + EW,10,0,125,f0_failure_rate.graph_1.edge_weight,0.1608995790891526
mdgnc_edge_failures,MG LdWLOA + EW,10,0,125,f0_failure_rate.sizing,0.1653083432261763
mdgnc_edge_failures,MG LdWLOA + EW,10,0,125,f0_failure_rate.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_graph_1_edge_weight,0.2399221835987091
mdgnc_edge_failures,MG LdWLOA + EW,10,0,125,f0_failure_rate.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.3248510564937749
mdgnc_edge_failures,MG LdWLOA + EW,10,0,125,f0_failure_rate.interaction.graph_1_edge_weight_sizing,0.1054144778948509
mdgnc_edge_failures,MG LdWLOA + EW,10,0,125,f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type,0.0050228434355233
mdgnc_edge_failures,MG LdWLOA + EW,10,0,125,f1_mass.graph_1.edge_weight,0.1436768919117947
mdgnc_edge_failures,MG LdWLOA + EW,10,0,125,f1_mass.sizing,0.3744861899206642
mdgnc_edge_failures,MG LdWLOA + EW,10,0,125,f1_mass.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_graph_1_edge_weight,0.0716241496498083
mdgnc_edge_failures,MG LdWLOA + EW,10,0,125,f1_mass.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.075273382370016
mdgnc_edge_failures,MG LdWLOA + EW,10,0,125,f1_mass.interaction.graph_1_edge_weight_sizing,0.3299165427121934
mdgnc_edge_failures,MG LdWLOA + EW,10,0,150,f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type,0.0034694643510404
mdgnc_edge_failures,MG LdWLOA + EW,10,0,150,f0_failure_rate.graph_1.edge_weight,0.0082337415577553
mdgnc_edge_failures,MG LdWLOA + EW,10,0,150,f0_failure_rate.sizing,0.1211375502791077
mdgnc_edge_failures,MG LdWLOA + EW,10,0,150,f0_failure_rate.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_graph_1_edge_weight,0.3418086335270975
mdgnc_edge_failures,MG LdWLOA + EW,10,0,150,f0_failure_rate.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.2566749695835
mdgnc_edge_failures,MG LdWLOA + EW,10,0,150,f0_failure_rate.interaction.graph_1_edge_weight_sizing,0.2686756407014989
mdgnc_edge_failures,MG LdWLOA + EW,10,0,150,f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type,0.005002201528792
mdgnc_edge_failures,MG LdWLOA + EW,10,0,150,f1_mass.graph_1.edge_weight,0.1414712022396981
mdgnc_edge_failures,MG LdWLOA + EW,10,0,150,f1_mass.sizing,0.3762887168612031
mdgnc_edge_failures,MG LdWLOA + EW,10,0,150,f1_mass.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_graph_1_edge_weight,0.0752079301081739
mdgnc_edge_failures,MG LdWLOA + EW,10,0,150,f1_mass.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.071007471343331
mdgnc_edge_failures,MG LdWLOA + EW,10,0,150,f1_mass.interaction.graph_1_edge_weight_sizing,0.3310224779188014
mdgnc_edge_failures,MG LdWLOA + EW,10,0,175,f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type,0.0034517618843032
mdgnc_edge_failures,MG LdWLOA + EW,10,0,175,f0_failure_rate.graph_1.edge_weight,0.0091490011450815
mdgnc_edge_failures,MG LdWLOA + EW,10,0,175,f0_failure_rate.sizing,0.1213610844128339
mdgnc_edge_failures,MG LdWLOA + EW,10,0,175,f0_failure_rate.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_graph_1_edge_weight,0.341838629811568
mdgnc_edge_failures,MG LdWLOA + EW,10,0,175,f0_failure_rate.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.2559309273886964
mdgnc_edge_failures,MG LdWLOA + EW,10,0,175,f0_failure_rate.interaction.graph_1_edge_weight_sizing,0.2682685953575168
mdgnc_edge_failures,MG LdWLOA + EW,10,0,175,f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type,0.0050651965189627
mdgnc_edge_failures,MG LdWLOA + EW,10,0,175,f1_mass.graph_1.edge_weight,0.1401353906685319
mdgnc_edge_failures,MG LdWLOA + EW,10,0,175,f1_mass.sizing,0.3729899731779079
mdgnc_edge_failures,MG LdWLOA + EW,10,0,175,f1_mass.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_graph_1_edge_weight,0.0715942822910859
mdgnc_edge_failures,MG LdWLOA + EW,10,0,175,f1_mass.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.0794289169358802
mdgnc_edge_failures,MG LdWLOA + EW,10,0,175,f1_mass.interaction.graph_1_edge_weight_sizing,0.3307862404076312
mdgnc_edge_failures,MG LdWLOA + EW,10,0,200,f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type,0.1874378507031349
mdgnc_edge_failures,MG LdWLOA + EW,10,0,200,f0_failure_rate.graph_1.edge_weight,0.3440477227445918
mdgnc_edge_failures,MG LdWLOA + EW,10,0,200,f0_failure_rate.sizing,0.0018743785070313
