problem,model,cv_folds,fold,budget,fit_sec,predict_train_sec,predict_test_sec,predict_test_sec_per_point,n_train,n_test
mdgnc,ESP,10,0,25,17.010049659758806,0.0640872595831751,48.73114021588117,0.0108291422701958,25,4500
mdgnc,ESP,10,0,50,18.0167247839272,0.0558016989380121,38.40950458217412,0.0085354454627053,50,4500
mdgnc,ESP,10,0,75,22.429414234124124,0.0684307646006345,38.83262015413493,0.0086294711453633,75,4500
mdgnc,ESP,10,0,100,27.43972143251449,0.0896193031221628,38.55253994558007,0.0085672310990177,100,4500
mdgnc,ESP,10,0,125,31.75278767663985,0.1150538483634591,38.95944577176124,0.0086576546159469,125,4500
mdgnc,ESP,10,0,150,37.3485341379419,0.14339504763484,39.21317462436855,0.0087140388054152,150,4500
mdgnc,ESP,10,0,175,44.30245446506888,0.1755406102165579,39.98990563862026,0.0088866456974711,175,4500
mdgnc,ESP,10,0,200,49.05015477351844,0.2149457326158881,40.368406938388944,0.0089707570974197,200,4500
mdgnc,ESP,10,0,225,57.0534737072885,0.2525553330779075,40.78713613376021,0.0090638080297244,225,4500
mdgnc,ESP,10,0,250,63.07255293428898,0.3073164755478501,41.41786969359964,0.0092039710430221,250,4500
mdgnc,ESP,10,0,275,71.20076505187899,0.3607913786545396,41.43973025679588,0.0092088289459546,275,4500
mdgnc,ESP,10,0,300,77.35958274453878,0.444668804295361,42.15980937238783,0.0093688465271972,300,4500
mdgnc,ESP,10,1,25,15.433049008250237,0.1673379838466644,38.01754402089864,0.0084483431157552,25,4500
mdgnc,ESP,10,1,50,18.27296672295779,0.0555788595229387,38.5199627019465,0.0085599917115436,50,4500
mdgnc,ESP,10,1,75,26.367210775613785,0.0971899954602122,52.3858251767233,0.0116412944837162,75,4500
mdgnc,ESP,10,1,100,33.09445094037801,0.1183270849287509,52.202308000065386,0.0116005128889034,100,4500
mdgnc,ESP,10,1,125,39.74378306418657,0.1456717904657125,53.14723481517285,0.0118104966255939,125,4500
mdgnc,ESP,10,1,150,47.855533953756094,0.1864390801638364,56.155951851047575,0.0124791004113439,150,4500
mdgnc,ESP,10,1,175,54.49553765449673,0.236794076859951,53.904890310019255,0.0119788645133376,175,4500
mdgnc,ESP,10,1,200,62.80884331464768,0.2832224909216165,54.31696823053062,0.0120704373845623,200,4500
mdgnc,ESP,10,1,225,73.472789991647,0.3292038384824991,55.56971254199743,0.0123488250093327,225,4500
mdgnc,ESP,10,1,250,79.87130092643201,0.4655272327363491,55.91064199432731,0.0124245871098505,250,4500
mdgnc,ESP,10,1,275,89.43964201584458,0.4615695383399725,56.31367593817413,0.0125141502084831,275,4500
mdgnc,ESP,10,1,300,95.45037549268454,0.512021591886878,57.12665678188205,0.012694812618196,300,4500
mdgnc,ESP,10,2,25,17.61303732637316,0.0665774438530206,49.753200352191925,0.0110562667449315,25,4500
mdgnc,ESP,10,2,50,22.060213587712497,0.0766696007922291,51.014704500325024,0.0113366010000722,50,4500
