n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_diagnostics.f0_failure_rate.graph_0.esp_semantic_type.sigma,kernel_diagnostics.f1_mass.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
30,0.6273800924650239,0.24404824154899565,0.6549522358144216,1.0,0.0,0.0,3.1168295339694443,0.5689123847116143,30,-3.4323029001533003,,,,,,0.0,0,,,,12,64,1510.1223273277283
40,0.6081607160211894,0.2566360151218441,0.6549522358144216,0.9693656577971416,9.846828288985707,6.177704042431067,3.0853826616837767,0.7166283739630015,40,-3.4323029001533003,30.0,,,10.074970645830035,79.1031116405502,75.17933371197432,5284,0.014227731588185905,12.609233911367001,20.000000000000004,12,64,1510.1223273277283
50,0.3973321547058177,0.3947186527288847,0.6549522358144216,0.6333196725204804,17.860254940573817,11.205168396066103,3.0828865652278163,0.7916355447476274,50,-3.4323029001533003,40.0,,,15.202611886896193,77.03196091391146,148.27669069636613,10486,0.01414044351481653,9.238165565612947,20.000000000000004,12,64,1510.1223273277283
60,0.21483301694379628,0.5142468710403247,0.6549522358144216,0.34242880755062066,22.738997340929323,14.265994254314172,2.6962427342210677,0.9495846366066858,60,-3.4323029001533003,50.0,,,14.149017346091568,38.46085714828223,183.98194843623787,13589,0.01353903513402295,10.584733414806381,20.000000000000004,12,64,1510.1223273277283
70,0.20551873281885757,0.5203472822529641,0.6549522358144216,0.3275824899246626,26.08905382830574,16.36775300312744,2.1187209977387744,1.001959174907503,70,-3.4323029001533003,60.0,,,16.163476197980344,71.10852133855224,251.03041453566402,18929,0.013261683899607165,11.198863281689695,20.000000000000004,12,64,1510.1223273277283
80,0.20100519651054488,0.5233034329495231,0.6549522358144216,0.32038822864267213,29.328907421142414,18.400372649774454,2.0557878801797766,1.0127278583566601,80,-3.4323029001533003,70.0,,,19.777358307503164,83.09526375774294,330.1151783429086,24519,0.013463647715767716,6.255796077245393,20.000000000000004,12,64,1510.1223273277283
90,0.1998603266605624,0.5240532680174856,0.6549522358144216,0.3185633861528759,32.523665495120156,20.40470026562999,1.784979746706347,0.957805500422453,90,-3.4323029001533003,80.0,,,19.548986041918397,72.53391865547746,398.6039095707238,29811,0.013371034503060071,12.63102218257644,20.000000000000004,12,64,1510.1223273277283
100,0.1877812249774206,0.5319645026714891,0.6549522358144216,0.29931014265947453,35.61303313918191,22.342908023819906,1.769199932913323,0.9773600791980931,100,-3.4323029001533003,90.0,,,21.405830605886877,80.38096295017749,474.9727445859462,35099,0.013532372562920487,12.493982572921269,20.000000000000004,12,64,1510.1223273277283
110,0.1877812249774206,0.5319645026714891,0.6549522358144216,0.29931014265947453,38.60613456577666,24.22072027359411,1.5967360957930998,0.9626814999680047,110,-3.4323029001533003,100.0,,,23.600341926328838,28.75177300721407,501.2810024721548,37788,0.01326561348767214,9.21091650596809,20.000000000000004,12,64,1510.1223273277283
120,0.1877812249762274,0.5319645026722706,0.6549522358144216,0.2993101426575726,41.59923599236189,26.09853252336235,2.5477058834729625,1.0112939194658015,120,-11.326853861652136,110.0,,,25.21724850963801,93.05359327606857,590.3151388429105,43660,0.013520731535568266,9.278212291277102,20.000000000000014,12,64,1510.1223273277283
130,0.18743838853234984,0.5321890441677068,0.6549522358144216,0.29876368533768777,44.58960513233819,27.97463059090524,2.5466789035176793,0.9900280863175981,130,-11.326853861652136,120.0,,,26.82360716536641,72.19822887890041,658.509673692286,48690,0.013524536325575806,10.494616340180661,19.999999999999993,12,64,1510.1223273277283
140,0.18743838853234984,0.5321890441677068,0.6549522358144216,0.29876368533768777,47.57724198571507,29.84901447622874,2.5466789035176793,0.9900280863175981,140,-11.326853861652136,130.0,,,29.53516745660454,80.7615277133882,735.2493256060407,54118,0.013586040238110069,8.521297644595105,20.000000000000004,12,64,1510.1223273277283
150,0.1871291103249785,0.5323916066211134,0.6549522358144216,0.29827071750034984,50.56241399990526,31.72185197051538,2.156611698938257,1.0599899230679768,150,-11.326853861652136,140.0,,,34.05352686904371,28.34147599246353,761.1059540910646,56842,0.013389851766142371,6.648125528257026,20.000000000000004,12,64,1510.1223273277283
160,0.18542181637701094,0.5335098026095272,0.6549522358144216,0.29554941032393073,53.53151463902666,33.584606604025325,1.508505140958833,1.0539235086862095,160,-11.326853861652136,150.0,,,34.14935321640223,23.507399342022836,779.2134260777384,58852,0.013240219976852756,6.879191979300314,20.000000000000014,12,64,1510.1223273277283
170,0.18490222236280698,0.5338501118708459,0.6549522358144216,0.29472121379610905,56.482867759626856,35.436226797724416,1.3777784240920021,1.04699311417262,170,-11.326853861652136,160.0,,,36.467308222316206,25.24705232679844,802.3421873347834,60926,0.013169126273426507,7.185527306306868,20.000000000000004,12,64,1510.1223273277283
180,0.1844517237297484,0.5341451669577989,0.6549522358144216,0.2940031504745769,59.42648958098029,37.28299652818719,1.1603244104791788,1.1116688409131954,180,-11.326853861652136,170.0,,,38.109986977651715,30.481815380975604,830.3079870194197,63652,0.013044491720910885,6.638112222269628,19.999999999999993,12,64,1510.1223273277283
190,0.18445112609355938,0.5341455583809571,0.6549522358144216,0.2940021978842793,62.36651632277457,39.127510777303726,1.1603244104791788,1.1565894510687271,190,-11.326853861652136,180.0,,,41.311540795490146,115.4723677225411,941.7225326178595,69583,0.013533801828289374,7.7224307419309195,20.000000000000004,12,64,1510.1223273277283
200,0.18436520425575117,0.5342018330807349,0.6549522358144216,0.29386524448260115,65.30585353460897,40.971592429050276,1.1017389159617579,1.2221409747561132,200,-11.326853861652136,190.0,,,43.11786165740341,48.28755380399525,987.2152648884803,72903,0.01354149026636051,7.949736371848399,20.000000000000004,12,64,1510.1223273277283
