epoch,train_loss,train_loss_adj,train_loss_features,train_loss_features_binary,train_loss_features_continuous,train_loss_kl,train_adj_precision,train_adj_recall,train_adj_f1,train_adj_edge_rate,train_loss_recon,val_loss,val_loss_adj,val_loss_features,val_loss_features_binary,val_loss_features_continuous,val_loss_kl,val_adj_precision,val_adj_recall,val_adj_f1,val_adj_edge_rate,val_loss_recon,val_adj_f1_smooth
1,0.6873459167745378,0.16303754182656607,0.46724110066890717,0.3974931712945302,0.06974792774849468,22.82690861002604,0.04361622547441059,0.05958644218577279,0.0369559903567036,0.07070261907577514,0.6302786424954733,0.3865245084762573,0.10935455995798112,0.20404528939723968,0.18887051820755005,0.015174771018326283,29.24986508178711,0.0,0.0,0.0,0.07104538249969482,0.3133998493552208,0.0
2,0.3777560014459822,0.11783716320991516,0.18961718625492519,0.17471643634637196,0.014900749990509617,28.12066087849935,0.0006666666666666666,2.2209365334775714e-05,4.277727918492423e-05,0.07070261934068468,0.30745434946484035,0.3403535594940186,0.11189276838302613,0.16366570448875428,0.15036752486228944,0.013298178069293499,25.9180340423584,0.0,0.0,0.0,0.07104538249969482,0.2755584728717804,0.0
3,0.33951054843266804,0.11911801152759129,0.1542116863595115,0.1405072265730964,0.013704459349314371,26.47234033033583,0.01899713754322794,0.001529953641610013,0.002714801012641854,0.07070261867841085,0.27332969788710276,0.3030921230316162,0.10797278225421905,0.1291301074028015,0.11640856778621674,0.012721540130674839,26.395693679809572,0.0,0.0,0.0,0.07104538249969482,0.23710288965702056,0.0
4,0.29832833441098533,0.10929377848572201,0.11858531614144643,0.10612985763947169,0.012455457773473528,28.17969667392307,0.1357273908721076,0.03877015199926164,0.056450654519928825,0.07070261838701036,0.22787909462716843,0.2717139782905579,0.10392762315273285,0.08604240673780442,0.07598577761650085,0.010056628547608852,32.6975810546875,0.037692670106887816,0.011715310573577881,0.017519661664962768,0.07104538249969482,0.18997002989053727,0.004379915416240692
5,0.2521428816848331,0.08686858837472068,0.08405888532267676,0.07353719449043274,0.010521691070662604,32.48616401163737,0.2896606856452094,0.14133078649308947,0.1853330019844903,0.07070261812210082,0.17092747369739744,0.21348310327529907,0.0641804215312004,0.06425837081670761,0.055664494901895525,0.008593876205384732,34.01772470092774,0.579093936920166,0.1596966209411621,0.24325748252868654,0.07104538249969482,0.128438792347908,0.05215542883872985
6,0.21316963940196568,0.06409198938144578,0.062087919447157115,0.05417056012815899,0.007917359535478884,34.795892625596785,0.49913091490003797,0.39175441466437444,0.42581644333733454,0.07070261907577514,0.1261799088286029,0.17696099328994752,0.04145823931694031,0.04368936964869499,0.038285530388355256,0.005403839413076639,36.725354583740234,0.6264574584960938,0.8616401138305664,0.7225145111083985,0.07104538249969482,0.08514760896563531,0.19665833106040956
7,0.1888760008679496,0.05115787139203813,0.04860103413462639,0.04297955234183205,0.005621481801486678,35.646838894314236,0.5597842500474718,0.7136316017574734,0.6232967698838976,0.07070261878437466,0.09975890552666453,0.16123510479927064,0.036276312559843066,0.03537412762641907,0.03206403091549873,0.003310096386820078,35.83386734008789,0.6211250610351563,0.9666380157470703,0.7534163360595703,0.07104538249969482,0.07165044018626213,0.34734159827232364
8,0.1760932058625751,0.04646264584196939,0.04095422489444415,0.03683561544617017,0.004118609560446607,35.47053505452474,0.5875374823676215,0.7967099316914876,0.6725051203833686,0.07070261907577514,0.08741687073641354,0.15138819313049318,0.03282086879014969,0.030880743727087975,0.028377720594406127,0.002503023149445653,35.07463311767578,0.6731621551513672,0.9911258544921875,0.7984539947509766,0.07104538249969482,0.06370161251723766,0.5070323972225189
9,0.1667231243054072,0.04308475065893597,0.035720984462234706,0.03240828683310085,0.003312697722059157,35.16695670912001,0.6121595526801216,0.8370634341769748,0.7032525408003065,0.07070261859893799,0.07880573512117067,0.14231543159484863,0.029131700053811074,0.025976863145828248,0.024034877941012382,0.0019419852430000901,34.88274810791015,0.7025085830688477,0.9936465072631836,0.8200948638916016,0.07104538249969482,0.05510856319963932,0.6675474376678466
10,0.15985762797461617,0.04093700925509135,0.03205897783736388,0.029209912281897333,0.0028490655155231554,34.744657636854384,0.6273576554192437,0.8563554013570149,0.7204105631510417,0.07070261923472086,0.07299598709245522,0.13944040393829346,0.029050665095448493,0.02357011824846268,0.021915982007980346,0.001654136311262846,34.727849639892575,0.695412467956543,0.9952195816040039,0.8155587997436523,0.07104538249969482,0.05262078334391117,0.7820077011108398
