n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
30,0.5636910159382114,0.28576154461718734,0.6549522358144216,1.0,0.0,0.0,4.490537579007602,0.44758376407315315,30,-3.465775937020713,,,,0.0,0,,13,65,1340.9270298480988
40,0.48847861511077145,0.33502207470008954,0.6549522358144216,0.8665715814145878,9.332857907072938,5.260848155244914,3.755064443239573,0.6591508144894258,40,-3.74339247897581,30.0,39.07455317399581,7.967518603996723,3.9378200650244253,5201,0.0007571274879877764,13,65,1340.9270298480988
50,0.4875481679672906,0.33563147313701946,0.6549522358144216,0.8649209481471192,17.99032055488147,10.140982070635225,3.7543711242265294,0.741694288682521,50,-3.74339247897581,40.0,31.80211810200126,6.140292707001208,7.229836432008597,8418,0.0008588544110250174,13,65,1340.9270298480988
60,0.4719968870277661,0.34581681935813924,0.6549522358144216,0.8373326409010992,26.501588500122566,14.938707345610508,3.7356395252438492,0.882221180305755,60,-3.74339247897581,50.0,34.70737802000076,10.484686798998155,13.718278890912188,13825,0.000992280570771225,13,65,1340.9270298480988
70,0.4719968870277661,0.34581681935813924,0.6549522358144216,0.8373326409010992,34.87491490913356,19.65867621588817,3.7356395252438492,0.882221180305755,70,-3.74339247897581,60.0,37.57014614700165,7.199346979003167,18.216764167933434,17008,0.0010710703297232733,13,65,1340.9270298480988
80,0.4657318089506912,0.34992014625227136,0.6549522358144216,0.8262182574890321,43.19266940108422,24.347319695780456,3.683887418036317,0.8710118692546669,80,-3.74339247897581,70.0,41.725224977002654,6.938334717000544,22.74834396487131,19614,0.0011598013645799587,13,65,1340.9270298480988
90,0.4657318089506912,0.34992014625227136,0.6549522358144216,0.8262182574890321,51.454851975974535,29.00463778528737,3.683887418036317,0.8710118692546669,90,-3.74339247897581,80.0,55.757033528003376,6.463960376000614,26.772691446822137,22295,0.001200838369447057,13,65,1340.9270298480988
100,0.31560303784409854,0.4482473205486058,0.6549522358144216,0.5598865848851726,58.38537618784556,32.91131201926132,2.2719967417972007,1.0063509968059912,100,-3.74339247897581,90.0,33.71402907800075,10.18084276499576,33.26924561885244,26934,0.0012352136934303275,13,65,1340.9270298480988
110,0.3085985739806469,0.45283490981665475,0.6549522358144216,0.5474605151671846,63.92211168810734,36.03232007838504,1.7048930078315045,0.9547838763183407,110,-3.612386311619818,100.0,45.40707728599955,9.056979819004482,39.47415536784683,30397,0.0012986201061896514,13,65,1340.9270298480988
120,0.30017059253154615,0.45835483511014574,0.6549522358144216,0.5325090946002395,69.32195973694446,39.076165910946,1.4012081136414622,0.9180456605752678,120,-3.612386311619818,110.0,51.1801036790057,13.257728584998404,48.45522319088195,35586,0.0013616372503479444,13,65,1340.9270298480988
130,0.2798931534485807,0.47163558917412474,0.6549522358144216,0.49653648104134585,74.4671876151524,41.976484640846635,1.3104573910867718,0.90613745614272,130,-10.815826476331617,120.0,60.90569574700203,13.29628747300012,57.865066341968486,40603,0.0014251426333514391,13,65,1340.9270298480988
140,0.16751082999158654,0.5452406431883026,0.6549522358144216,0.29716781934652675,78.43570911709176,44.21350455804747,1.0785304857080655,0.9432322634005595,140,-10.815826476331617,130.0,63.5646258859997,14.103062545000284,67.97957224592392,45768,0.00148530790608993,13,65,1340.9270298480988
150,0.16751082999158654,0.5452406431883026,0.6549522358144216,0.29716781934652675,81.40738731055703,45.88861285796333,1.0785304857080655,0.9432322634005595,150,-10.815826476331617,140.0,76.88263592399744,17.852142647003348,81.8038380169528,51279,0.0015952697598812925,13,65,1340.9270298480988
160,0.1565319632210732,0.5524312765263589,0.6549522358144216,0.2776910732922367,84.28168177375085,47.50882682402663,1.0689618270960841,0.9280964108107551,160,-10.815826476331617,150.0,82.60643353799969,16.701563918999454,94.5085547489507,56588,0.0016701165397071942,13,65,1340.9270298480988
170,0.1563523105913568,0.5525489404178616,0.6549522358144216,0.27737236565873397,87.0569989685057,49.07324819308878,1.0539308982247995,0.9230507287231852,170,-10.815826476331617,160.0,95.37531739699625,18.019146528997226,108.57728567089362,62047,0.001749919990827818,13,65,1340.9270298480988
180,0.15414766276707137,0.5539928794395608,0.6549522358144216,0.27346127294668143,89.81116716153278,50.62574805988092,1.0166155844352176,0.9671370335512557,180,-10.815826476331617,170.0,114.0244697570015,14.304549218999455,119.28990546993009,66531,0.0017929973316187955,13,65,1340.9270298480988
190,0.15410893934047,0.5540182414343917,0.6549522358144216,0.2733925767540751,92.54543641003656,52.16703107041862,0.9987906044523243,1.0180639704449237,190,-10.815826476331617,180.0,120.3991371919983,21.968250527002965,137.26509664492187,72268,0.0018993897249809303,13,65,1340.9270298480988
200,0.1458972265405163,0.5593965210925873,0.6549522358144216,0.2588248214275402,95.20652340094463,53.66706189982356,0.9127212497175617,1.0366807664143867,200,-11.035065942974104,190.0,130.9671917240048,18.69665198599978,152.04496538080275,77648,0.001958131122254311,13,65,1340.9270298480988
