fit_index,output,epoch,mse,rmse,mse_scaled,rmse_scaled
1,f0_tsfc,1,0.7783557809889317,0.8822447398476976,0.7783557809889317,0.8822447398476976
1,f0_tsfc,2,0.35577308759093285,0.5964671722659453,0.35577308759093285,0.5964671722659453
1,f0_tsfc,3,0.12358326651155949,0.3515441174469564,0.12358326651155949,0.3515441174469564
1,f0_tsfc,4,0.1061889547854662,0.32586646772177436,0.1061889547854662,0.32586646772177436
1,f0_tsfc,5,0.03680877760052681,0.19185613777131763,0.03680877760052681,0.19185613777131763
1,f0_tsfc,6,0.04462180007249117,0.21123872768148166,0.04462180007249117,0.21123872768148166
1,f0_tsfc,7,0.029189676977694035,0.17084986677692796,0.029189676977694035,0.17084986677692796
1,f0_tsfc,8,0.02157589141279459,0.1468873425887833,0.02157589141279459,0.1468873425887833
1,f0_tsfc,9,0.024380349554121494,0.15614208130456533,0.024380349554121494,0.15614208130456533
1,f0_tsfc,10,0.012722160434350371,0.11279255487110118,0.012722160434350371,0.11279255487110118
1,g0_jet_mach,1,0.5470480415970087,0.739626961107428,0.5470480415970087,0.739626961107428
1,g0_jet_mach,2,0.2955498229712248,0.5436449420083156,0.2955498229712248,0.5436449420083156
1,g0_jet_mach,3,0.11006471887230873,0.3317600320597837,0.11006471887230873,0.3317600320597837
1,g0_jet_mach,4,0.09527579694986343,0.3086677776345685,0.09527579694986343,0.3086677776345685
1,g0_jet_mach,5,0.03194934735074639,0.17874380367091441,0.03194934735074639,0.17874380367091441
1,g0_jet_mach,6,0.039225281216204166,0.19805373315392005,0.039225281216204166,0.19805373315392005
1,g0_jet_mach,7,0.007519672974012792,0.08671604796122107,0.007519672974012792,0.08671604796122107
1,g0_jet_mach,8,0.01471767807379365,0.1213164377724373,0.01471767807379365,0.1213164377724373
1,g0_jet_mach,9,0.0052879295544698834,0.07271815147863622,0.0052879295544698834,0.07271815147863622
1,g0_jet_mach,10,0.0055601694621145725,0.07456654385255208,0.0055601694621145725,0.07456654385255208
1,g1_pr,1,0.5300915390253067,0.7280738554743651,0.5300915390253067,0.7280738554743651
1,g1_pr,2,0.390185184776783,0.6246480487256668,0.390185184776783,0.6246480487256668
1,g1_pr,3,0.30204036086797714,0.5495819873940349,0.30204036086797714,0.5495819873940349
1,g1_pr,4,0.1783207692205906,0.42228043906933527,0.1783207692205906,0.42228043906933527
1,g1_pr,5,0.08708677720278502,0.2951046885476153,0.08708677720278502,0.2951046885476153
1,g1_pr,6,0.08912273775786161,0.29853431587986934,0.08912273775786161,0.29853431587986934
1,g1_pr,7,0.06250480795279145,0.2500096157206587,0.06250480795279145,0.2500096157206587
1,g1_pr,8,0.05034392885863781,0.22437452809674677,0.05034392885863781,0.22437452809674677
1,g1_pr,9,0.07129016611725092,0.26700218373124013,0.07129016611725092,0.26700218373124013
1,g1_pr,10,0.03923007007688284,0.19806582258654026,0.03923007007688284,0.19806582258654026
1,g2_pr,1,0.2192190382629633,0.4682083278445219,0.2192190382629633,0.4682083278445219
1,g2_pr,2,0.18498582765460014,0.43009978801971077,0.18498582765460014,0.43009978801971077
1,g2_pr,3,0.215081125497818,0.4637683963982647,0.215081125497818,0.4637683963982647
1,g2_pr,4,0.1653333716094494,0.4066120652531715,0.1653333716094494,0.4066120652531715
1,g2_pr,5,0.1140406671911478,0.33769907786540937,0.1140406671911478,0.33769907786540937
1,g2_pr,6,0.07069496251642704,0.2658852431340014,0.07069496251642704,0.2658852431340014
1,g2_pr,7,0.05951603129506111,0.2439590770909357,0.05951603129506111,0.2439590770909357
1,g2_pr,8,0.03498388361185789,0.18703979152003428,0.03498388361185789,0.18703979152003428
1,g2_pr,9,0.046828100457787514,0.21639801398762307,0.046828100457787514,0.21639801398762307
1,g2_pr,10,0.03491712035611272,0.18686123288716874,0.03491712035611272,0.18686123288716874
1,g3_pr,1,0.567996755708009,0.7536555948893426,0.567996755708009,0.7536555948893426
1,g3_pr,2,0.5589102730154991,0.7476030183295805,0.5589102730154991,0.7476030183295805
1,g3_pr,3,0.24153855815529823,0.491465724293463,0.24153855815529823,0.491465724293463
1,g3_pr,4,0.24479661136865616,0.4947692506296811,0.24479661136865616,0.4947692506296811
1,g3_pr,5,0.09676815010607243,0.31107579479296105,0.09676815010607243,0.31107579479296105
