epoch,train_loss,train_loss_adj,train_loss_features,train_loss_features_binary,train_loss_features_continuous,train_loss_kl,train_adj_precision,train_adj_recall,train_adj_f1,train_adj_edge_rate,train_loss_recon,val_loss,val_loss_adj,val_loss_features,val_loss_features_binary,val_loss_features_continuous,val_loss_kl,val_adj_precision,val_adj_recall,val_adj_f1,val_adj_edge_rate,val_loss_recon,val_adj_f1_smooth
1,1.1001799706617992,0.44198990733093685,0.5283915274010764,0.4322421771420373,0.09614935361345608,12.979853679233127,0.03767640601264106,0.4109811684274011,0.035317073855135175,0.039437348551220365,0.9703814347320132,0.4275630147457123,0.06428346401453018,0.21969286811351776,0.2047378543615341,0.01495501783490181,14.358668876647949,0.0,0.0,0.0,0.040057785034179685,0.28397633212804796,0.0
2,0.41563182163238527,0.07650233632326126,0.2041797227859497,0.1896191074848175,0.014560616090065903,13.494976490444607,0.05451892651451959,0.00967590069770813,0.015440665317906273,0.03943734878963894,0.28068205910921096,0.3497006638050079,0.062323736250400545,0.1666660727262497,0.15890724074840545,0.00775883013010025,12.071085594177246,0.0,0.0,0.0,0.040057785034179685,0.22898980897665025,0.0
3,0.3714435029294756,0.0790189215209749,0.17517038798332216,0.16522814207606845,0.00994224687003427,11.725419440375434,0.05655245410071479,0.015223354631000096,0.022425060311953227,0.039437348551220365,0.2541893095042971,0.3244944317340851,0.06230983179807663,0.1517584248781204,0.1457255275249481,0.006032897423952818,11.042618057250976,0.0,0.0,0.0,0.040057785034179685,0.21406825667619706,0.0
4,0.3512685075865852,0.07974848347902298,0.16376089817947811,0.1554023190471861,0.008358579412930542,10.775912788391114,0.05396672442224291,0.01923760892285241,0.02669915480746163,0.03943734852472941,0.2435093816585011,0.30983005952835085,0.061552281081676485,0.143129905462265,0.13790314388275146,0.005226761750876904,10.51478726196289,0.0,0.0,0.0,0.040057785034179685,0.2046821865439415,0.0
5,0.3385053295029534,0.07955666465891732,0.15583954588572185,0.1484183883666992,0.00742115730419755,10.310912017822266,0.06242962325943841,0.027094934595955744,0.03582771041658189,0.039437348498238455,0.23539621054463916,0.297095272064209,0.05913472527265549,0.13697404813766478,0.13205313467979432,0.004920915249735117,10.098649406433106,0.0,0.0,0.0,0.040057785034179685,0.19610877341032026,0.0
6,0.3292215886116028,0.07872122346692616,0.14911326434877184,0.14229288772741955,0.00682037628814578,10.138710468716091,0.08785647662480672,0.04788984227180481,0.05901714351442125,0.0394373488691118,0.22783448781569798,0.2853676540851593,0.05651624271273613,0.13056764423847197,0.12582584476470948,0.004741798404604197,9.82837696838379,0.0,0.0,0.0,0.040057785034179685,0.1870838869512081,0.0
7,0.3211931914753384,0.07780737506681018,0.14292859778139327,0.1365578322145674,0.006370764808522331,10.04572213236491,0.10760651673210991,0.07009768549601236,0.08124218840069242,0.03943734878963894,0.22073597284820345,0.27921305799484253,0.055407266914844516,0.1240671466588974,0.11963159281015397,0.004435555268079042,9.973864532470703,0.0,0.0,0.0,0.040057785034179685,0.17947441357374191,0.0
8,0.31358764457702637,0.07642135230700176,0.136929874142011,0.13087712862094245,0.0060527455744644005,10.023642216152615,0.12140754403008355,0.09267386701371935,0.10105895794762505,0.03943734884262085,0.21335122644901275,0.26919099974632266,0.05237496563792229,0.11784567075967789,0.11351142233610154,0.004334250092506408,9.897036666870116,0.0,0.0,0.0,0.040057785034179685,0.17022063639760018,0.0
9,0.30513659591144987,0.07348672782050239,0.129672567764918,0.12388014926513036,0.005792418276684152,10.197730270385742,0.15191157160864935,0.1413715649710761,0.14160280524359808,0.03943734852472941,0.2031592955854204,0.2588266944885254,0.048916982144117355,0.10880435431003571,0.104610435962677,0.0041939177215099335,10.110536346435547,0.5813666877746582,0.0289436297416687,0.05491307544708252,0.040057785034179685,0.15772133645415307,0.010982615089416505
10,0.29697323693169486,0.07129781737592485,0.12252044541305966,0.11687712431616254,0.00564332173185216,10.315497793409559,0.16931852849324544,0.18125383366478814,0.17034690756267973,0.03943734852472941,0.1938182627889845,0.2545860075950623,0.04757671198248863,0.10057668834924698,0.09649463081359863,0.004082056552171707,10.643261276245116,0.3518687744140625,0.0785624189376831,0.12668725776672363,0.040057785034179685,0.1481534003317356,0.03632006664276123
11,0.2890425643391079,0.06982848627037472,0.1161114042268859,0.11057903227541181,0.005532371917118629,10.310267859564886,0.17243688244289823,0.1976827214558919,0.1798447872797648,0.03943734867042965,0.18593989049726062,0.24017196249961853,0.0443469942510128,0.09329642784595489,0.08928302454948425,0.004013401705771685,10.25285400390625,0.44552381134033203,0.026929018259048462,0.050091840267181394,0.040057785034179685,0.1376434220969677,0.04633843469619751
12,0.281840974966685,0.06889812458886041,0.11047467746999529,0.10494676312473085,0.005527914030270444,10.24681731499566,0.05394601715935601,0.04870725565486484,0.04834867032368978,0.03943734843201108,0.1793728020588557,0.22992464172840119,0.042833751976490024,0.08563922840356827,0.0816891914010048,0.003950036790221929,10.145166259765626,0.0,0.0,0.0,0.040057785034179685,0.1284729803800583,0.04633843469619751
13,0.2743930428293016,0.06882637460364235,0.10456740751531389,0.09899890178442002,0.005568505592644215,10.099926216125489,0.0,0.0,0.0,0.03943734848499298,0.17339378211895623,0.22641638708114625,0.044176018327474594,0.0794096771478653,0.07551742208003998,0.0038922543600201608,10.283069396972657,0.0,0.0,0.0,0.040057785034179685,0.1235856954753399,0.04633843469619751
14,0.2676365172068278,0.06892126421795951,0.099547755267885,0.0939047909312778,0.00564296448437704,9.916749745686849,0.0,0.0,0.0,0.03943734839227465,0.1684690194858445,0.21518113374710082,0.044231862008571626,0.07244972044229507,0.0684824760556221,0.003967243768274784,9.84995548248291,0.0,0.0,0.0,0.040057785034179685,0.1166815824508667,0.035355819606781004
15,0.2614014897743861,0.06897647572888269,0.09508397051360871,0.08938567588064406,0.005698294572118256,9.734104756673178,0.0,0.0,0.0,0.039437348511483936,0.1640604462424914,0.21081397700309754,0.045919248819351194,0.06733437180519104,0.06350087040662765,0.0038335015401244166,9.756035537719727,0.0,0.0,0.0,0.040057785034179685,0.11325362062454224,0.01001836805343628
16,0.2560549233754476,0.0689252277943823,0.09149462867445415,0.08578388490279516,0.0057107434786028335,9.563506763034397,0.0,0.0,0.0,0.03943734869692061,0.16041985646883644,0.20423722064495087,0.045698913395404814,0.06295572417974472,0.05911925008893013,0.0038364739380776884,9.558258926391602,0.0,0.0,0.0,0.040057785034179685,0.10865463757514954,0.0
17,0.2514322534137302,0.0690037876897388,0.08848472105132209,0.08277018069558674,0.005714540265914466,9.39437466430664,0.0,0.0,0.0,0.039437348418765596,0.1574885087410609,0.2004196021556854,0.047318394005298615,0.059761277735233306,0.05596088755130768,0.003800389863550663,9.333993003845215,0.0,0.0,0.0,0.040057785034179685,0.10707967174053193,0.0
18,0.2473309800359938,0.06903670544094509,0.08579090088605881,0.08006857005755107,0.005722330832233032,9.250337460835775,0.0,0.0,0.0,0.039437348551220365,0.1548276063270039,0.19586105728149414,0.04781129935383797,0.056282826960086824,0.05248230609297752,0.0038005206696689127,9.176693069458008,0.0,0.0,0.0,0.040057785034179685,0.10409412631392478,0.0
19,0.24335364394717746,0.06891545412275527,0.08303242599301867,0.07733873952759637,0.005693686529166168,9.140576751708984,0.0,0.0,0.0,0.039437348895602756,0.15194788011577393,0.19168693232536316,0.04927216389775276,0.0528469158411026,0.04910763508081436,0.0037392809092998505,8.956785591125488,0.0,0.0,0.0,0.040057785034179685,0.10211907973885537,0.0
20,0.2396837596628401,0.06880951227082147,0.08051891598436567,0.07485746746593051,0.005661448441031907,9.035533295525445,0.0,0.0,0.0,0.03943734844525655,0.14932842825518713,0.19090497076511384,0.050426877319812775,0.049454072058200835,0.04573336690664291,0.003720705285668373,9.10240210723877,0.0,0.0,0.0,0.040057785034179685,0.09988094937801362,0.0
21,0.23620446762773725,0.06888682375351587,0.07803007702032726,0.07242246312565273,0.00560761396959424,8.928756999545627,0.0,0.0,0.0,0.039437348975075615,0.14691690077384312,0.18852864837646485,0.051824775636196134,0.046666756957769395,0.04303153869509697,0.0036352187879383564,9.00371181488037,0.0,0.0,0.0,0.040057785034179685,0.09849153259396554,0.0
22,0.23299329336484273,0.06887798475556903,0.07554893942011727,0.070015775250064,0.005533164010279709,8.856637245178222,0.0,0.0,0.0,0.03943734873665704,0.1444269241756863,0.18341383743286133,0.052426466673612594,0.0444946174621582,0.04085020327568054,0.003644413787871599,8.649275733947754,0.0,0.0,0.0,0.040057785034179685,0.0969210841357708,0.0
23,0.22970739285151165,0.06896901191605462,0.0731257492436303,0.06767221128940583,0.005453537931458818,8.761263309902615,0.0,0.0,0.0,0.03943734868367513,0.14209476115968492,0.1807400757074356,0.053823092639446256,0.04190706431865692,0.03826727667450905,0.003639788098633289,8.500991973876953,0.0,0.0,0.0,0.040057785034179685,0.09573015695810318,0.0
24,0.2269636561340756,0.06914168239964379,0.07070959528287252,0.06531374185615116,0.005395853354699082,8.711238155788845,0.0,0.0,0.0,0.039437348511483936,0.13985127768251632,0.1795614333152771,0.05534548637270927,0.03923326340317726,0.035652487426996234,0.0035807761810719967,8.498268188476562,0.0,0.0,0.0,0.040057785034179685,0.09457874977588654,0.0
25,0.2239392425219218,0.06935911748806635,0.0683311799565951,0.0629911317328612,0.005340048170751996,8.624894632975261,0.0,0.0,0.0,0.03943734874990251,0.13769029744466144,0.17876291275024414,0.057516014844179154,0.036781910687685014,0.03326969668269157,0.003512214360758662,8.446498764038086,0.0,0.0,0.0,0.040057785034179685,0.09429792553186417,0.0
26,0.2211221689913008,0.0697697807682885,0.06585233736038208,0.06062620376547178,0.0052261337372991774,8.550005256652833,0.0,0.0,0.0,0.03943734853797489,0.1356221181286706,0.17751700401306153,0.05904497715830803,0.03402975541353226,0.030568891897797584,0.0034608634933829307,8.444227546691895,0.0,0.0,0.0,0.040057785034179685,0.09307473257184029,0.0
27,0.21847433318032158,0.07024778787295023,0.06350076780054305,0.05835277653733889,0.005147991229676538,8.47257795630561,0.0,0.0,0.0,0.03943734892209371,0.13374855567349328,0.17646945750713347,0.06088082063198089,0.031918349027633665,0.028449276015162468,0.003469073077663779,8.367028900146485,0.0,0.0,0.0,0.040057785034179685,0.09279916965961456,0.0
28,0.21600936135980817,0.07092018187708325,0.06145321727130148,0.05635837592681249,0.00509484130061335,8.363596318562825,0.0,0.0,0.0,0.03943734874990251,0.13237339914838472,0.1756565761566162,0.06316154313087463,0.02893963252007961,0.02552597525715828,0.003413656983524561,8.355539993286133,0.0,0.0,0.0,0.040057785034179685,0.09210117565095424,0.0
29,0.2134966272910436,0.07157690020402273,0.05922698556052314,0.054215111888117264,0.005011873579273621,8.269274201287164,0.0,0.0,0.0,0.03943734871016608,0.13080388576454588,0.17523719155788423,0.06585434305667877,0.027618411213159562,0.0242552148103714,0.0033631963543593883,8.176444114685058,0.0,0.0,0.0,0.040057785034179685,0.09347275426983834,0.0
30,0.2110026512145996,0.07226414236095216,0.057279986838499705,0.05234819315539466,0.0049317936566140915,8.145852343241375,0.0,0.0,0.0,0.039437348418765596,0.12954412919945185,0.174114981174469,0.06754846125841141,0.025537078201770782,0.022233156576752663,0.003303921541199088,8.102944274902343,0.0,0.0,0.0,0.040057785034179685,0.09308553946018219,0.0
31,0.20875407613648309,0.07286198736561669,0.05545161402887768,0.050587446375025644,0.004864167649298906,8.044047670152452,0.0,0.0,0.0,0.03943734871016608,0.12831360139449438,0.17593006610870363,0.06929960793256759,0.02460214628279209,0.02135703380405903,0.0032451125625520944,8.202831550598145,0.0,0.0,0.0,0.040057785034179685,0.09390175421535968,0.0
32,0.20654029287232292,0.07339715221855375,0.05365981263253424,0.04891386246350077,0.004745950266304943,7.948332967546251,0.0,0.0,0.0,0.03943734831280178,0.127056964851088,0.1720393726825714,0.07115650802850723,0.022342700093984605,0.01922221037745476,0.0031204900443553923,7.85401685333252,0.0,0.0,0.0,0.040057785034179685,0.09349920812249184,0.0
