x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,run,seed
1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0003896337651839941,0.0004994616348424751,0.5,0.0005137563196408877,0.0001284314608030763,0.5,0.20585940276656275,0.3143070184201127,0.5,-6.656465976904784,28.12485446273749,24,2024
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.749511531958021e-17,0.5,4.811147140404426e-19,5.421010862427522e-18,0.5,4.163336342344337e-17,1.2663481374630692e-16,0.5,-6.553270173168806,23.0,24,2024
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.1228552649940085e-17,0.0,0.5,0.0,0.0,0.5,2.0816681711721685e-17,1.3877787807814457e-17,0.5,-6.553270173168806,23.0,24,2024
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0003797149910433835,0.0004908774694064065,0.5,5.997578931324735e-05,0.00012707470295603293,0.5,0.21103125411947043,0.053210985811631,0.5,-6.557107085030662,24.586578438549374,24,2024
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00039535454200835605,0.00020801730404871265,0.5,0.0013645845951474763,1.0371650069882025e-05,0.5,0.2621838719015597,0.07741882056985247,0.5,-6.558940421857901,25.045867289334666,24,2024
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0003176418203580646,0.00013949711853926218,0.5,0.001219100477536418,0.0006728060127897625,0.5,0.12975277146891065,0.05610306015155954,0.5,-6.554229366633933,24.126487271155185,24,2024
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0002686681961316585,4.299600591305752e-05,0.5,0.001192302528280776,0.0007751957281279003,0.5,0.12939817681050275,0.004795416288611032,0.5,-6.5539379987662,23.81696706635193,24,2024
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00023514731543912852,0.00010006201758647467,0.5,0.001192836256002162,0.0005406424798378973,0.5,0.236915137024807,0.2558231152459218,0.5,-6.562675540731472,25.96683084318608,24,2024
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.004740637027724e-19,0.0,0.5,0.0,2.2268804483245135e-19,0.5,0.015043050165776896,4.074557566276761e-05,0.5,-6.553288748607264,23.090502774448638,24,2024
2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,26.0,28.0,6.0,0.048933143727481365,0.48851463850587606,0.966584206558764,0.3095458559691906,0.856620792299509,0.7388369664549828,0.1674423972144723,0.13450986798852682,0.8498202571645379,-10.716532858986662,74.06793905325623,24,2024
2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.5178830414797062e-18,1.2750217548429532e-16,1.2804427657053807e-16,7.979727989493313e-17,4.5536491244391186e-17,1.1460016963171782e-16,0.002403534675270255,5.551115123125783e-17,4.5102810375396984e-17,-9.829905733946944,34.51442120805162,24,2024
2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.003709155104757005,2.2734506393024175e-18,0.0018555425636876716,1.1427833686470058e-18,0.012299718548918625,0.8236691823118988,0.1508163819738773,0.08937565805641712,-9.886364411606586,40.96819520554993,24,2024
2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0003191747213475267,0.0003011058888375687,0.0,0.0,0.00018033316620514903,0.0018385393114269816,0.2737860256852537,0.19658277057571083,0.08578199524720063,-9.839153943581318,37.8490193316756,24,2024
