run,seed,n_train,method,epochs,train_rmse,test_rmse,beta,noise_sd,mean_sd,mean_epistemic_sd,sd_ratio,coverage_95
0,42,50,dngo,1.0,0.0458961721490137,0.5229148184098903,60.925764733436715,0.1281148597367499,0.4374745657726283,0.4136202256917613,0.8366077042967082,0.952
0,42,50,dngo,5.0,0.0326899146223167,0.7881089452095841,92.17292940390496,0.1041593605077473,0.4151210438089381,0.3982172631626234,0.5267305317776133,0.808
0,42,50,dngo,10.0,0.0350250765211879,0.4879291139477199,120.14851670727296,0.0912306550558423,0.305957924150683,0.2881009103180244,0.6270540441320448,0.858
0,42,50,dngo,20.0,0.1277701360522049,0.3648493657998352,24.386442663794593,0.2025003478470708,0.3504615433018239,0.2778879770993999,0.96056503355441,0.95
0,42,50,dngo,30.0,0.1038316768648895,0.3371121399692918,35.36010035115486,0.1681679598701611,0.3016892564011424,0.2432417569455041,0.8949225513760015,0.942
0,42,50,dngo,50.0,0.0712617497911305,0.3342169747606019,66.89765027079584,0.1222628649065,0.2381908542748656,0.1989612549676958,0.7126832933769467,0.886
0,42,50,dngo,75.0,0.0540494607545808,0.3582296785670132,106.4433688448828,0.0969260901731822,0.2027554084197112,0.1736422221646013,0.5659927709808171,0.8
0,42,50,dngo,100.0,0.0489995865726603,0.3677434685746124,125.56629761464184,0.0892408001250701,0.1906523887423393,0.164361296499178,0.5184385448946659,0.764
0,42,50,dngo,150.0,0.0377562763579958,0.3922335624352351,188.23001724540217,0.072887920340249,0.1712158009945586,0.1513793689363133,0.4365149171109737,0.698
0,42,50,dngo,200.0,0.0463369413705279,0.4016332595538008,142.8586068705415,0.0836655739481814,0.1795719563164586,0.1551726039406344,0.4471042973780512,0.73
0,42,100,dngo,1.0,0.0828148232394182,0.3443462549135291,50.85242910658181,0.1402310379226786,0.2613336074999168,0.2161235050447466,0.7589268179075793,0.906
0,42,100,dngo,5.0,0.0722649808092762,0.2667730479296473,74.59406432719598,0.1157838175192984,0.2040396063159997,0.1645839799212576,0.7648434049072623,0.904
0,42,100,dngo,10.0,0.1009039710230042,0.2380528848651997,50.85035552175202,0.1402338970766176,0.2040352068052484,0.1450244292828544,0.8571003326457722,0.926
0,42,100,dngo,20.0,0.1009019306175085,0.2212971541657087,54.15884770473826,0.1358830518150745,0.1893737660203668,0.1291659747266929,0.8557442445850999,0.922
