problem,model,cv_folds,fold,budget,weight_name,weight_value
mdgnc,MG LdWLOA,10,0,200,f1_mass.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.0894103754810707
mdgnc,MG LdWLOA,10,0,225,f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type,0.0128858215101849
mdgnc,MG LdWLOA,10,0,225,f0_failure_rate.sizing,0.3628147082667449
mdgnc,MG LdWLOA,10,0,225,f0_failure_rate.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.6242994702230701
mdgnc,MG LdWLOA,10,0,225,f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type,0.0123807672270621
mdgnc,MG LdWLOA,10,0,225,f1_mass.sizing,0.8981866035186541
mdgnc,MG LdWLOA,10,0,225,f1_mass.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.0894326292542837
mdgnc,MG LdWLOA,10,0,250,f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type,0.0060139280738996
mdgnc,MG LdWLOA,10,0,250,f0_failure_rate.sizing,0.3935712071369899
mdgnc,MG LdWLOA,10,0,250,f0_failure_rate.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.6004148647891104
mdgnc,MG LdWLOA,10,0,250,f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type,0.0122820380984962
mdgnc,MG LdWLOA,10,0,250,f1_mass.sizing,0.8990372481337962
mdgnc,MG LdWLOA,10,0,250,f1_mass.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.0886807137677077
mdgnc,MG LdWLOA,10,0,275,f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type,0.0060835771301354
mdgnc,MG LdWLOA,10,0,275,f0_failure_rate.sizing,0.3912324906882679
mdgnc,MG LdWLOA,10,0,275,f0_failure_rate.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.6026839321815967
mdgnc,MG LdWLOA,10,0,275,f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type,0.0131192081582656
mdgnc,MG LdWLOA,10,0,275,f1_mass.sizing,0.3627460127811426
mdgnc,MG LdWLOA,10,0,275,f1_mass.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.6241347790605917
mdgnc,MG LdWLOA,10,0,300,f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type,0.0137493925077157
mdgnc,MG LdWLOA,10,0,300,f0_failure_rate.sizing,0.5262805120568882
mdgnc,MG LdWLOA,10,0,300,f0_failure_rate.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.4599700954353962
mdgnc,MG LdWLOA,10,0,300,f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type,0.0102224670430432
mdgnc,MG LdWLOA,10,0,300,f1_mass.sizing,0.8398943517502621
mdgnc,MG LdWLOA,10,0,300,f1_mass.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.1498831812066948
mdgnc,MG LdWLOA,10,1,25,f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type,0.0057782825359268
mdgnc,MG LdWLOA,10,1,25,f0_failure_rate.sizing,0.5715448643553974
mdgnc,MG LdWLOA,10,1,25,f0_failure_rate.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.4226768531086759
mdgnc,MG LdWLOA,10,1,25,f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type,0.0134408049465391
mdgnc,MG LdWLOA,10,1,25,f1_mass.sizing,0.0595738307091688
mdgnc,MG LdWLOA,10,1,25,f1_mass.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.926985364344292
