x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,f0,f1,run,seed
2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5310962744967249,0.37164862996363424,0.5,0.45568349436725675,0.0370162938308809,0.13731569143552247,0.15054640841205702,0.6008801180469098,0.5,-7.343238773579802,40.72995373512279,17,2017
2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23129224657902359,0.6941628912779187,0.5,0.1249721169980812,0.21386632631985014,0.3811432020897143,0.3499148602614123,0.6492342446059616,0.5,-7.357099870888832,42.56229206233436,17,2017
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004027282509954655,0.5,0.5,0.4036410294538134,0.5,0.5,0.2509988829586409,0.5,0.5,-3.361460708702433,15.42795300750563,17,2017
2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10784010386178189,0.679397338541026,0.5,0.7321851778249742,0.09451545552334673,0.685433017178826,0.48814031657992873,0.8739261074376398,0.5,-7.569899173504308,50.05767206859114,17,2017
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40089811721608937,0.5,0.5,0.2319754962183358,0.010226376602968212,0.5,0.5765102817407898,0.19396159615739772,0.5,-4.098413041519902,27.201077607028786,17,2017
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2355520616473683,0.5,0.5,0.09081171187554626,0.5,0.5,0.5420849052576971,0.025048053009361082,0.5,-3.6850373629107516,19.836061437079906,17,2017
1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5208614554412846,0.5,0.5,0.10047922333892345,0.16564501231628415,0.5,0.6585055421732815,0.007766327777499082,0.43571277884467574,-4.155249340087121,34.107729897054874,17,2017
1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07385587126586579,0.254326138505955,0.5,0.11751558600485967,0.1949226304523125,0.5,0.2750876845088164,0.5,0.5,-3.8462272972585887,24.016110726930464,17,2017
2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9698757988823345,0.049850887195152294,0.5,0.24629998711922452,0.9372049916754565,0.10066188787692454,0.17407163261242253,0.15524460487545422,0.4776158197901206,-8.287158837008159,51.64860277718015,17,2017
2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9006639341557027,0.6639974330330914,0.7012827114101556,0.2913833161192442,0.8794644797275524,0.25266567441327104,0.8408747462683192,0.08463673405550742,0.8783944547012913,-10.83088606840259,68.07171531451411,17,2017
2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4581991386763945,0.0009363171361037592,0.28477488211801927,0.12329571465391675,0.15251334153898655,0.8885643165478461,0.17977344711746712,0.33268025165581083,0.9111955266760633,-10.755914173045559,55.06544401515285,17,2017
2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5449993879871622,0.7523997493436867,0.06266301852233247,0.1408893009391894,0.10220825638470854,0.13972497486479585,0.334213715903493,0.5443728691367006,0.4095689744765314,-10.619968611028103,52.59526313749659,17,2017
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9445460357800207,0.5,0.5,0.0035113904683194974,0.8989892934605382,0.5,0.43464309746693275,0.4774918533929574,0.5,-4.5752782142976685,37.13298430468676,17,2017
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37388804123372577,0.504729099525407,0.5,0.8938437899345504,0.1463741453143662,0.43874817067641836,0.9397601547158287,0.24511684051734706,0.5,-7.704378939428274,50.244864725948304,17,2017
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478698726738332,0.5,0.5,0.30236621625293414,0.5,0.5,0.46933629428567547,0.5,0.5,-3.423771094799094,17.73428236009796,17,2017
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7713112128909757,0.8744191767619892,0.5,0.0757579423729915,0.18080983117346672,0.5,0.6011048925325837,0.5592552732730283,0.5,-7.453250085876004,44.018276822855654,17,2017
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4927452283192746,0.5,0.5,0.004075557185461043,0.20780619892999874,0.5,0.966841809223468,0.5833296710510442,0.5,-4.140573439318072,32.27190443855973,17,2017
1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2961407609012645,0.7688111302451783,0.5,0.7270283969728167,0.008681396295778576,0.5,0.149498136815032,0.3393624161368264,0.9080601214015902,-7.486419016127053,46.547172135524605,17,2017
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06711233869759048,0.2706025506422248,0.5,0.08660898577271237,0.5,0.5,0.11176384975204379,0.5,0.5,-3.5802917445114097,18.234345658085303,17,2017
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8300083834225132,0.5,0.5,0.5736872771714276,0.6796744916811003,0.5,0.36684954972021777,0.04249072911486995,0.5,-4.402690254365966,34.79860970198727,17,2017
