sample_id,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,is_active0,is_active1,is_active2,is_active3,is_active4,is_active5,is_active6,is_active7,is_active8,is_active9,is_active10,is_active11,is_active12,is_active13,is_active14,is_active15,is_active16,is_active17,is_active18,is_active19,is_active20,is_active21,is_active22,is_active23,is_active24,is_active25,is_active26,is_active27,is_active28,is_active29,f0,f1,cv,is_feasible
913,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4692486748099327,0.5,0.5,0.5887255975976586,0.4708169335499406,0.5,0.6018782211467624,0.554756217636168,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.1287922553526055,34.83842205125932,0.0,True
914,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2273413073271513,0.5,0.5,0.4931768048554659,0.15017578098922968,0.5,0.3375978674739599,0.7642798637971282,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.03920606748375,30.83317039281523,0.0,True
915,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6861619632691145,0.5,0.5,0.7613896066322923,0.6594027588143945,0.5,0.8762867506593466,0.3655416266992688,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.263006004209532,39.271452135693096,0.0,True
916,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6192572508007288,0.5,0.5,0.9526846716180444,0.6110503450036049,0.5,0.3825987661257386,0.991657548584044,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.214322171525623,40.31230478667353,0.0,True
917,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04340946115553379,0.5,0.5,0.3097169790416956,0.07352820783853531,0.5,0.8429180616512895,0.39036169182509184,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.003022735819206,29.71234031136437,0.0,True
918,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2853892855346203,0.5,0.5,0.6552725965157151,0.297426238656044,0.5,0.10817115381360054,0.1808761851862073,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.056213055097732,28.020606355115127,0.0,True
919,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8616333566606045,0.5,0.5,0.10579358227550983,0.7601826936006546,0.5,0.6778811551630497,0.6894242977723479,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.443114145070507,38.596574662040915,0.0,True
920,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8068711189553142,0.5,0.5,0.3506498243659735,0.4245855016633868,0.5,0.4938458586111665,0.8797685476019979,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.3761062328604305,37.45038541168455,0.0,True
921,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3557795463129878,0.5,0.5,0.8962187739089131,0.8830389780923724,0.5,0.7825342947617173,0.49626877810806036,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.080619730538783,39.23441854824911,0.0,True
922,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09777796734124422,0.5,0.5,0.05311552993953228,0.7381635485216975,0.5,0.01630081608891487,0.19787792954593897,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.010573555709332,26.0996706608582,0.0,True
