epoch,train_loss,train_loss_adj,train_loss_features,train_loss_features_binary,train_loss_features_continuous,train_loss_kl,train_adj_precision,train_adj_recall,train_adj_f1,train_adj_edge_rate,train_loss_recon,val_loss,val_loss_adj,val_loss_features,val_loss_features_binary,val_loss_features_continuous,val_loss_kl,val_adj_precision,val_adj_recall,val_adj_f1,val_adj_edge_rate,val_loss_recon,val_adj_f1_smooth
1,0.5894478397766749,0.10773839691943593,0.41600106424755523,0.33964796978235245,0.07635309515810675,26.283352652655708,0.061442418138186135,0.06318988253341781,0.03134291935629315,0.039823760562472874,0.5237394611669912,0.20970972764492035,0.01778586672246456,0.11168448138237,0.10360435044765473,0.008080131985247135,32.095753387451175,0.0,0.0,0.0,0.03996161079406738,0.12947034810483457,0.0
2,0.1821073537932502,0.015500555586483743,0.09805936065647337,0.09167365636428197,0.006385704384909736,27.41897551812066,0.5888385762108697,0.044213622914420235,0.07955535913838281,0.039823760430018104,0.11355991624295711,0.14995528149604798,0.012717115923762321,0.07370954573154449,0.07036431634426117,0.0033452300000935795,25.41144805908203,0.0,0.0,0.0,0.03996161079406738,0.08642666165530681,0.0
3,0.14964314577314589,0.014942202273342345,0.0760816303425365,0.07189420459005567,0.004187426042432586,23.447725677490233,0.8658292117648655,0.09303097740809123,0.163670287238227,0.03982376058896383,0.09102383261587885,0.1324666965007782,0.014280440904200078,0.06264861303567887,0.060016653925180435,0.0026319597996771337,22.215058197021484,0.0,0.0,0.0,0.03996161079406738,0.07692905393987895,0.0
4,0.13459721521536508,0.01573093594113986,0.06645815766188834,0.06292750902970631,0.003530648755737477,20.963249294704863,0.8000794542100694,0.10646097694502936,0.18326770522859362,0.039823760310808816,0.0821890936030282,0.11915265047550201,0.013368991807103157,0.0556666796207428,0.05324295070767403,0.002423728421330452,20.04679153442383,0.394,0.008522209107875824,0.016635923981666564,0.03996161079406738,0.06903567142784596,0.004158980995416641
5,0.12415395516819425,0.016282539998491604,0.05912507129046652,0.056025115778048834,0.003099955409972204,19.49853815544976,0.7067054585350885,0.11508596234851413,0.19328374767303466,0.03982376029756334,0.07540761128895812,0.1101898803114891,0.013461380414664745,0.04922871541976929,0.047097924441099163,0.002130790484137833,18.999913848876954,1.0,0.0523180456161499,0.09806354141235352,0.03996161079406738,0.06269009583443404,0.022939893078804015
6,0.11567854664723079,0.016315299436450003,0.05261896900004811,0.04984952163034015,0.0027694473434239624,18.697711817423503,0.5515239613850912,0.129069653722975,0.20373027880986533,0.039823760694927636,0.06893426843649811,0.10173684465885162,0.012328004434704781,0.04370501488447189,0.0416341677904129,0.0020708465250208973,18.28153106689453,1.0,0.23183403396606445,0.37111787033081056,0.03996161079406738,0.056033019319176675,0.09716346714496613
7,0.1086033849451277,0.016066365857919058,0.046874697612391575,0.04437661630908648,0.0024980810539176066,18.264928602430555,0.40957691680060493,0.14656105836232503,0.20933466053009034,0.039823760138617624,0.06294106347031063,0.09514901936054229,0.012315977647900581,0.037777239084243776,0.03585480219125748,0.0019224373558536171,18.022321655273437,0.8271762084960937,0.2450685920715332,0.37393110275268554,0.03996161079406738,0.050093216732144355,0.17194968769550323
8,0.10298656658331554,0.01570555401013957,0.04252277311351564,0.04021154404017661,0.002311229184890787,17.90329631381565,0.35849458620283337,0.18067986064487032,0.23363865979512533,0.039823760059144765,0.05822832712365521,0.09209862613677978,0.012004908345639706,0.035836071372032166,0.03407562345266342,0.0017604488413780928,17.70305827331543,0.0,0.0,0.0,0.03996161079406738,0.04784097971767187,0.17194968769550323
9,0.09834819177124235,0.01538010040918986,0.038961627589331735,0.03679668155643675,0.002164946011164122,17.602586062961155,0.32143313280741376,0.1991927736070421,0.2389038593504164,0.0398237603240543,0.05434172799852159,0.08701965951919556,0.01278609750419855,0.03111255769431591,0.02939168630540371,0.0017208714000880717,17.248402374267577,0.3348767929077148,0.12012372589111328,0.17078599548339843,0.03996161079406738,0.043898655198514464,0.20277970199584963
10,0.09453947873910268,0.015077232918805547,0.036190494229396186,0.034155971596638364,0.002034522503407465,17.308700910780164,0.30092432890997994,0.22101754877302382,0.24668639373779297,0.03982376057571835,0.051267727148201735,0.08273442733287811,0.010397469766438008,0.029276754170656203,0.027702997267246246,0.0015737568661570549,17.22408235168457,0.5608782577514648,0.2851065483093262,0.3727301902770996,0.03996161079406738,0.03967422393709421,0.25771303176879884
11,0.09138644346263673,0.014794878796570831,0.03401812036832174,0.03210621854000621,0.0019119020069224967,17.029378075493707,0.2790521748860677,0.23952300908830432,0.24982247331407334,0.039823760310808816,0.04881299916489257,0.080212546646595,0.010381575807929038,0.028253426671028137,0.02678905214369297,0.001464374509640038,16.631017211914063,0.42776903533935545,0.3084706916809082,0.35539726257324217,0.03996161079406738,0.038635002478957174,0.2545689102172851
12,0.0888931218319469,0.01479946848915683,0.03224836113055547,0.030450149993101756,0.0017982111462495393,16.738117485894097,0.26905315515730116,0.24524356036716038,0.24844959735870362,0.039823760483000015,0.0470478296197123,0.07740109074115753,0.010399222798645497,0.02575483751296997,0.02438054157793522,0.0013742959275841714,16.49881379699707,0.44750439834594724,0.31261965942382813,0.3633491859436035,0.03996161079406738,0.03615406031161547,0.25245252685546876
13,0.08636344186464945,0.014456076620353593,0.030264121070504187,0.02860289951496654,0.001661221552019318,16.65729820251465,0.2658617797427707,0.26235844050513374,0.2549063449435764,0.03982376050949097,0.04472019769085778,0.08025269508361817,0.011786407984793187,0.02633968475461006,0.02511478154361248,0.0012249031476676464,16.850641082763673,0.326606014251709,0.17044948387145997,0.22115662002563477,0.03996161079406738,0.03812609273940325,0.2966838508605957
14,0.08424716606405046,0.014090020208723015,0.028962402237786188,0.02736453626718786,0.0015978658945403166,16.477897750854492,0.27849214045206705,0.27125822469923233,0.2643639316558838,0.039823760430018104,0.043052422446509205,0.07302163749933242,0.009593102186918258,0.022023063585162164,0.020872976988554,0.0011500864634290337,16.56218910217285,0.5875849075317383,0.2990598678588867,0.39118392181396483,0.03996161079406738,0.03161616577208042,0.340763436126709
15,0.08142999017238617,0.013512476132975685,0.026697878668705623,0.02520988164179855,0.0014879970365307398,16.487854583740233,0.2807251131269667,0.29850343725416395,0.277246187210083,0.03982376058896383,0.04021035480168131,0.06978822046518326,0.008907264664769172,0.020764372408390044,0.019671669214963914,0.0010927031766623258,16.046634002685547,0.4493411064147949,0.38764167022705076,0.4057373161315918,0.03996161079406738,0.029671637073159216,0.3473648612976074
16,0.07977507527669271,0.013427962534957462,0.025408422842621802,0.023992217578821712,0.0014162052165096004,16.3754760945638,0.27451058790418836,0.287892204284668,0.2683462183210585,0.039823760390281675,0.03883638537757926,0.06813635063171387,0.008336521707475186,0.018969960078597067,0.017916015923023224,0.0010539441993460059,16.33194793701172,0.5525079879760743,0.41680815505981444,0.4635305976867676,0.03996161079406738,0.027306481786072253,0.3689915283203125
17,0.07727826149596108,0.012888470491601361,0.02349134600162506,0.022142164990305902,0.0013491809712722898,16.35937856886122,0.28045160749223497,0.288024389690823,0.27140331798129613,0.039823760430018104,0.03637981649322642,0.0741962307691574,0.014064017273485661,0.018796601980924605,0.017676383137702943,0.0011202187109738589,16.53424491882324,0.27971332359313966,0.14383854866027831,0.16949034690856934,0.03996161079406738,0.032860619254410264,0.33021976051330565
18,0.07552403214242723,0.012782595136927234,0.022289474811818866,0.020973004882534344,0.0013164699806107415,16.180785468207464,0.2732642126083374,0.26573592864142526,0.2578246268166436,0.039823760483000015,0.0350720699487461,0.0637611768245697,0.008166404873132705,0.01623517295718193,0.01521270363777876,0.0010224689957685769,15.743840049743651,0.47464848709106444,0.41523683547973633,0.4279511184692383,0.03996161079406738,0.024401577830314637,0.37157866020202635
19,0.07345791702138053,0.01251193429529667,0.020773461571998067,0.01953592116302914,0.0012375403760621945,16.06900907389323,0.2670978302425808,0.24718136829800075,0.24697486517164444,0.03982376062870026,0.03328539586729474,0.06212546297907829,0.007432253453880548,0.0159347777813673,0.015007123365998269,0.0009276542006991803,15.503373100280761,0.45190933990478516,0.5781501770019531,0.49063504028320315,0.03996161079406738,0.02336703123524785,0.39146888389587403
20,0.07168386214309269,0.012382942581342326,0.01949397231472863,0.018302127008636794,0.0011918453291679422,15.922779149373373,0.2595196359422472,0.2204623334672716,0.2293849302927653,0.039823760085635714,0.03187691489607096,0.06097538071870804,0.007519679859280586,0.013512782506644725,0.012617035143077373,0.0008957474078051746,15.977167617797852,0.5812532272338867,0.4335561485290527,0.48065201568603516,0.03996161079406738,0.021032462365925313,0.40645182380676276
