problem,model,cv_folds,fold,budget,split,target,rmse,nrmse,mae,r2,n_valid
mdgnc_edge_failures,MG LdWLOA + EW,10,9,300,train,f0,1.1248198929048766e-11,6.218300004213051e-12,8.418004071586438e-12,1.0,300
mdgnc_edge_failures,MG LdWLOA + EW,10,9,300,train,f1,7.393945070128415e-11,7.0428359513849584e-12,5.740627528894038e-11,1.0,300
mdgnc_edge_failures,MG LdWLOA + EW,10,9,300,test,f0,0.18598059731555971,0.0982618129227102,0.09959908135881752,0.9903446161211423,4500
mdgnc_edge_failures,MG LdWLOA + EW,10,9,300,test,f1,1.0179351802807803,0.08018667328490102,0.573998150917699,0.9935700974275006,4500
