fit_index,output,epoch,mse,rmse,mse_scaled,rmse_scaled
1,f0_tsfc,1,0.38703981786966324,0.6221252429130836,0.38703981786966324,0.6221252429130836
1,f0_tsfc,2,0.5150440968573093,0.7176657277990286,0.5150440968573093,0.7176657277990286
1,f0_tsfc,3,0.20373674109578133,0.45137206503701727,0.20373674109578133,0.45137206503701727
1,f0_tsfc,4,0.10834011482074857,0.32915059595988666,0.10834011482074857,0.32915059595988666
1,f0_tsfc,5,0.06053603161126375,0.24604071128832267,0.06053603161126375,0.24604071128832267
1,f0_tsfc,6,0.04181463905842975,0.20448628085627102,0.04181463905842975,0.20448628085627102
1,f0_tsfc,7,0.028832572977989912,0.1698015694214571,0.028832572977989912,0.1698015694214571
1,f0_tsfc,8,0.01959325489588082,0.13997590826953335,0.01959325489588082,0.13997590826953335
1,f0_tsfc,9,0.015544356545433402,0.1246770088887017,0.015544356545433402,0.1246770088887017
1,f0_tsfc,10,0.03860070905648172,0.19647063153683228,0.03860070905648172,0.19647063153683228
1,g0_jet_mach,1,0.22306151688098907,0.47229388825284313,0.22306151688098907,0.47229388825284313
1,g0_jet_mach,2,0.05118540286730422,0.22624191226937643,0.05118540286730422,0.22624191226937643
1,g0_jet_mach,3,0.0585572412237525,0.24198603518333967,0.0585572412237525,0.24198603518333967
1,g0_jet_mach,4,0.03905413196662266,0.19762118299064668,0.03905413196662266,0.19762118299064668
1,g0_jet_mach,5,0.030079394578933716,0.1734341217261866,0.030079394578933716,0.1734341217261866
1,g0_jet_mach,6,0.025170815410092473,0.1586531292162007,0.025170815410092473,0.1586531292162007
1,g0_jet_mach,7,0.0139375242870301,0.11805729239242319,0.0139375242870301,0.11805729239242319
1,g0_jet_mach,8,0.014171903836540878,0.11904580562346948,0.014171903836540878,0.11904580562346948
1,g0_jet_mach,9,0.00553855517955526,0.07442146988306036,0.00553855517955526,0.07442146988306036
1,g0_jet_mach,10,0.021124466555193067,0.14534258341997733,0.021124466555193067,0.14534258341997733
1,g1_pr,1,0.21466632140800357,0.4633209701794249,0.21466632140800357,0.4633209701794249
1,g1_pr,2,0.1927816178649664,0.4390690354203612,0.1927816178649664,0.4390690354203612
1,g1_pr,3,0.20810988452285528,0.45619062301066127,0.20810988452285528,0.45619062301066127
1,g1_pr,4,0.05908326571807265,0.24307049536723427,0.05908326571807265,0.24307049536723427
1,g1_pr,5,0.07818365190178156,0.27961339721440664,0.07818365190178156,0.27961339721440664
1,g1_pr,6,0.07559109851717949,0.2749383540308254,0.07559109851717949,0.2749383540308254
1,g1_pr,7,0.0957934632897377,0.3095051910545891,0.0957934632897377,0.3095051910545891
1,g1_pr,8,0.042940058279782534,0.2072198308072433,0.042940058279782534,0.2072198308072433
1,g1_pr,9,0.09599550906568766,0.3098314203977506,0.09599550906568766,0.3098314203977506
1,g1_pr,10,0.12934647127985954,0.3596477043995409,0.12934647127985954,0.3596477043995409
1,g2_pr,1,0.28147363220341504,0.5305408864577875,0.28147363220341504,0.5305408864577875
1,g2_pr,2,0.2725991206243634,0.522110257152992,0.2725991206243634,0.522110257152992
1,g2_pr,3,0.16369717568159103,0.40459507619543644,0.16369717568159103,0.40459507619543644
1,g2_pr,4,0.14562819246202707,0.38161262094174386,0.14562819246202707,0.38161262094174386
1,g2_pr,5,0.1461480412981473,0.38229313530084125,0.1461480412981473,0.38229313530084125
1,g2_pr,6,0.07898518431466073,0.2810430292938445,0.07898518431466073,0.2810430292938445
1,g2_pr,7,0.07036702055484056,0.26526782796796256,0.07036702055484056,0.26526782796796256
1,g2_pr,8,0.02866703411564231,0.16931341977422318,0.02866703411564231,0.16931341977422318
1,g2_pr,9,0.03156563127413392,0.17766719245300727,0.03156563127413392,0.17766719245300727
1,g2_pr,10,0.026999024208635092,0.16431379798615542,0.026999024208635092,0.16431379798615542
1,g3_pr,1,0.2743989285081625,0.523831011403642,0.2743989285081625,0.523831011403642
1,g3_pr,2,0.3368049878627062,0.5803490224534769,0.3368049878627062,0.5803490224534769
1,g3_pr,3,0.18962395191192627,0.43545832396674455,0.18962395191192627,0.43545832396674455
1,g3_pr,4,0.08674183842958882,0.2945196740959572,0.08674183842958882,0.2945196740959572
1,g3_pr,5,0.07189516630023718,0.2681327400752045,0.07189516630023718,0.2681327400752045
1,g3_pr,6,0.029983845073729753,0.17315843922179985,0.029983845073729753,0.17315843922179985
1,g3_pr,7,0.03460165089927614,0.18601518996919617,0.03460165089927614,0.18601518996919617
1,g3_pr,8,0.07361646508798003,0.27132354318779645,0.07361646508798003,0.27132354318779645
1,g3_pr,9,0.031081674998858944,0.17629995745563565,0.031081674998858944,0.17629995745563565
1,g3_pr,10,0.04263440426439047,0.2064810021875874,0.04263440426439047,0.2064810021875874
1,g4_pr_perc_sum,1,0.7088621854782104,0.8419395378993734,0.7088621854782104,0.8419395378993734
1,g4_pr_perc_sum,2,0.7964306324720383,0.8924296232600295,0.7964306324720383,0.8924296232600295
1,g4_pr_perc_sum,3,0.25020844861865044,0.5002084051859289,0.25020844861865044,0.5002084051859289
1,g4_pr_perc_sum,4,0.2734336443245411,0.5229088298399073,0.2734336443245411,0.5229088298399073
1,g4_pr_perc_sum,5,0.10252782143652439,0.32019965870769507,0.10252782143652439,0.32019965870769507
1,g4_pr_perc_sum,6,0.12218474596738815,0.34954934697033574,0.12218474596738815,0.34954934697033574
1,g4_pr_perc_sum,7,0.05252301783184521,0.22917900827048976,0.05252301783184521,0.22917900827048976
1,g4_pr_perc_sum,8,0.05891358107328415,0.24272120029631558,0.05891358107328415,0.24272120029631558
1,g4_pr_perc_sum,9,0.04570730170235038,0.21379266054369214,0.04570730170235038,0.21379266054369214
1,g4_pr_perc_sum,10,0.0454964367672801,0.21329893756716206,0.0454964367672801,0.21329893756716206
2,f0_tsfc,1,0.3632958859205246,0.6027403138338472,0.3632958859205246,0.6027403138338472
2,f0_tsfc,2,0.2962818443775177,0.5443177788548871,0.2962818443775177,0.5443177788548871
2,f0_tsfc,3,0.14176869243383408,0.3765218352683335,0.14176869243383408,0.3765218352683335
2,f0_tsfc,4,0.19155585914850234,0.4376709484858486,0.19155585914850234,0.4376709484858486
2,f0_tsfc,5,0.05783064290881157,0.2404800260080067,0.05783064290881157,0.2404800260080067
2,f0_tsfc,6,0.11092434637248516,0.33305306840274745,0.11092434637248516,0.33305306840274745
2,f0_tsfc,7,0.026910070795565844,0.16404289315775264,0.026910070795565844,0.16404289315775264
2,f0_tsfc,8,0.034387733414769174,0.18543929846386167,0.034387733414769174,0.18543929846386167
2,f0_tsfc,9,0.03416683077812195,0.18484271902923835,0.03416683077812195,0.18484271902923835
2,f0_tsfc,10,0.012263172212988139,0.11073920811071451,0.012263172212988139,0.11073920811071451
2,g0_jet_mach,1,0.2506877563893795,0.5006872840300416,0.2506877563893795,0.5006872840300416
2,g0_jet_mach,2,0.21593770235776902,0.4646909751197768,0.21593770235776902,0.4646909751197768
2,g0_jet_mach,3,0.15366857573390008,0.392005836351833,0.15366857573390008,0.392005836351833
2,g0_jet_mach,4,0.27452149987220764,0.5239479934804672,0.27452149987220764,0.5239479934804672
2,g0_jet_mach,5,0.048382920771837236,0.21996118014740063,0.048382920771837236,0.21996118014740063
2,g0_jet_mach,6,0.12707767263054848,0.35647955429526174,0.12707767263054848,0.35647955429526174
2,g0_jet_mach,7,0.02740720734000206,0.16555122270766248,0.02740720734000206,0.16555122270766248
2,g0_jet_mach,8,0.054451209306716916,0.23334782901650686,0.054451209306716916,0.23334782901650686
2,g0_jet_mach,9,0.03444543424993753,0.18559481202322853,0.03444543424993753,0.18559481202322853
2,g0_jet_mach,10,0.015772323217242958,0.12558791031481875,0.015772323217242958,0.12558791031481875
2,g1_pr,1,0.2070286065340042,0.45500396320692,0.2070286065340042,0.45500396320692
2,g1_pr,2,0.22272212505340577,0.4719344499540225,0.22272212505340577,0.4719344499540225
2,g1_pr,3,0.12496367045678199,0.3535020091269383,0.12496367045678199,0.3535020091269383
2,g1_pr,4,0.1019858717918396,0.3193522691196034,0.1019858717918396,0.3193522691196034
2,g1_pr,5,0.037509143783245234,0.1936727750181869,0.037509143783245234,0.1936727750181869
2,g1_pr,6,0.19085874632000924,0.4368738334119008,0.19085874632000924,0.4368738334119008
2,g1_pr,7,0.10941991060972214,0.3307868053742805,0.10941991060972214,0.3307868053742805
2,g1_pr,8,0.13293145298957826,0.364597659056635,0.13293145298957826,0.364597659056635
2,g1_pr,9,0.06645729914307594,0.2577931324591017,0.06645729914307594,0.2577931324591017
2,g1_pr,10,0.04697191845625639,0.21673005895873418,0.04697191845625639,0.21673005895873418
2,g2_pr,1,0.38677908256649973,0.6219156555084457,0.38677908256649973,0.6219156555084457
2,g2_pr,2,0.3131577670574188,0.5596050098573268,0.3131577670574188,0.5596050098573268
2,g2_pr,3,0.13995612412691116,0.3741071024812429,0.13995612412691116,0.3741071024812429
2,g2_pr,4,0.23358215987682343,0.48330338285265856,0.23358215987682343,0.48330338285265856
2,g2_pr,5,0.06334660016000271,0.25168750497393133,0.06334660016000271,0.25168750497393133
2,g2_pr,6,0.13368237167596816,0.36562599972645293,0.13368237167596816,0.36562599972645293
2,g2_pr,7,0.03945762432413176,0.19863943295361008,0.03945762432413176,0.19863943295361008
2,g2_pr,8,0.04642740823328495,0.21547020265754835,0.04642740823328495,0.21547020265754835
2,g2_pr,9,0.040373846795409916,0.2009324433619666,0.040373846795409916,0.2009324433619666
2,g2_pr,10,0.03738282546401024,0.1933463872535772,0.03738282546401024,0.1933463872535772
2,g3_pr,1,0.5228037008084356,0.7230516584646187,0.5228037008084356,0.7230516584646187
2,g3_pr,2,0.24158432483673095,0.4915122835054389,0.24158432483673095,0.4915122835054389
2,g3_pr,3,0.16602834761142732,0.40746576250211175,0.16602834761142732,0.40746576250211175
2,g3_pr,4,0.21705209612846374,0.46588850182040736,0.21705209612846374,0.46588850182040736
2,g3_pr,5,0.058467877376824615,0.24180131797991633,0.058467877376824615,0.24180131797991633
2,g3_pr,6,0.15126699358224868,0.3889305768157714,0.15126699358224868,0.3889305768157714
2,g3_pr,7,0.0441896703094244,0.2102133923170082,0.0441896703094244,0.2102133923170082
2,g3_pr,8,0.05095529183745384,0.22573278857413215,0.05095529183745384,0.22573278857413215
2,g3_pr,9,0.03896348573034629,0.19739170633627515,0.03896348573034629,0.19739170633627515
2,g3_pr,10,0.021620085276663304,0.1470377001882963,0.021620085276663304,0.1470377001882963
2,g4_pr_perc_sum,1,0.4871989399194717,0.6979963752910696,0.4871989399194717,0.6979963752910696
2,g4_pr_perc_sum,2,0.2862217824906111,0.5349969929734288,0.2862217824906111,0.5349969929734288
2,g4_pr_perc_sum,3,0.1829689212143421,0.4277486659410431,0.1829689212143421,0.4277486659410431
2,g4_pr_perc_sum,4,0.197863195464015,0.4448181599980098,0.197863195464015,0.4448181599980098
2,g4_pr_perc_sum,5,0.09474387355148792,0.30780492775699336,0.09474387355148792,0.30780492775699336
2,g4_pr_perc_sum,6,0.19662176333367826,0.44342052651369024,0.19662176333367826,0.44342052651369024
2,g4_pr_perc_sum,7,0.10535756163299084,0.3245882955884128,0.10535756163299084,0.3245882955884128
2,g4_pr_perc_sum,8,0.14515122175216674,0.38098716743765365,0.14515122175216674,0.38098716743765365
