fit_index,output,epoch,mse,rmse,mse_scaled,rmse_scaled
1,f0_failure_rate,1,1.0010874072710674,1.0005435559090206,1.0010874072710674,1.0005435559090206
1,f0_failure_rate,2,0.5894708434740702,0.7677700459604231,0.5894708434740702,0.7677700459604231
1,f0_failure_rate,3,0.3303997715314229,0.574804115792,0.3303997715314229,0.574804115792
1,f0_failure_rate,4,0.21285887186725935,0.4613663098528753,0.21285887186725935,0.4613663098528753
1,f0_failure_rate,5,0.16732566306988397,0.40905459668592403,0.16732566306988397,0.40905459668592403
1,f0_failure_rate,6,0.07368855799237888,0.2714563648035884,0.07368855799237888,0.2714563648035884
1,f0_failure_rate,7,0.11301454901695251,0.33617636594048744,0.11301454901695251,0.33617636594048744
1,f0_failure_rate,8,0.033531747137506805,0.18311675821045656,0.033531747137506805,0.18311675821045656
1,f0_failure_rate,9,0.06636118392149608,0.25760664572463204,0.06636118392149608,0.25760664572463204
1,f0_failure_rate,10,0.025890072497228783,0.16090392318781038,0.025890072497228783,0.16090392318781038
1,f1_mass,1,0.43208684027194977,0.6573331273197401,0.43208684027194977,0.6573331273197401
1,f1_mass,2,0.14611869057019553,0.38225474564771006,0.14611869057019553,0.38225474564771006
1,f1_mass,3,0.08394526441891988,0.28973309168771155,0.08394526441891988,0.28973309168771155
1,f1_mass,4,0.033779541651407875,0.18379211531349182,0.033779541651407875,0.18379211531349182
1,f1_mass,5,0.04325810447335243,0.2079858275781127,0.04325810447335243,0.2079858275781127
1,f1_mass,6,0.030021296503643196,0.1732665475608122,0.030021296503643196,0.1732665475608122
1,f1_mass,7,0.014824163944770893,0.12175452330312371,0.014824163944770893,0.12175452330312371
1,f1_mass,8,0.023119923348228138,0.15205237041305256,0.023119923348228138,0.15205237041305256
1,f1_mass,9,0.01036331399033467,0.10180036340963951,0.01036331399033467,0.10180036340963951
1,f1_mass,10,0.008314233350877961,0.09118241799205569,0.008314233350877961,0.09118241799205569
1,f0_failure_rate,1,1.0010874072710674,1.0005435559090206,1.0010874072710674,1.0005435559090206
1,f0_failure_rate,2,0.5894708434740702,0.7677700459604231,0.5894708434740702,0.7677700459604231
1,f0_failure_rate,3,0.3303997715314229,0.574804115792,0.3303997715314229,0.574804115792
1,f0_failure_rate,4,0.21285887186725935,0.4613663098528753,0.21285887186725935,0.4613663098528753
1,f0_failure_rate,5,0.16732566306988397,0.40905459668592403,0.16732566306988397,0.40905459668592403
1,f0_failure_rate,6,0.07368855799237888,0.2714563648035884,0.07368855799237888,0.2714563648035884
1,f0_failure_rate,7,0.11301454901695251,0.33617636594048744,0.11301454901695251,0.33617636594048744
1,f0_failure_rate,8,0.033531747137506805,0.18311675821045656,0.033531747137506805,0.18311675821045656
1,f0_failure_rate,9,0.06636118392149608,0.25760664572463204,0.06636118392149608,0.25760664572463204
1,f0_failure_rate,10,0.025890072497228783,0.16090392318781038,0.025890072497228783,0.16090392318781038
1,f1_mass,1,0.43208684027194977,0.6573331273197401,0.43208684027194977,0.6573331273197401
1,f1_mass,2,0.14611869057019553,0.38225474564771006,0.14611869057019553,0.38225474564771006
1,f1_mass,3,0.08394526441891988,0.28973309168771155,0.08394526441891988,0.28973309168771155
