n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_tsfc.graph_0.ld_wloa_semantic_type,kernel_weight.f0_tsfc.sizing,kernel_weight.f0_tsfc.interaction.graph_0_ld_wloa_semantic_type_sizing,kernel_weight.g0_jet_mach.graph_0.ld_wloa_semantic_type,kernel_weight.g0_jet_mach.sizing,kernel_weight.g0_jet_mach.interaction.graph_0_ld_wloa_semantic_type_sizing,kernel_weight.g1_pr.graph_0.ld_wloa_semantic_type,kernel_weight.g1_pr.sizing,kernel_weight.g1_pr.interaction.graph_0_ld_wloa_semantic_type_sizing,kernel_weight.g2_pr.graph_0.ld_wloa_semantic_type,kernel_weight.g2_pr.sizing,kernel_weight.g2_pr.interaction.graph_0_ld_wloa_semantic_type_sizing,kernel_weight.g3_pr.graph_0.ld_wloa_semantic_type,kernel_weight.g3_pr.sizing,kernel_weight.g3_pr.interaction.graph_0_ld_wloa_semantic_type_sizing,kernel_weight.g4_pr_perc_sum.graph_0.ld_wloa_semantic_type,kernel_weight.g4_pr_perc_sum.sizing,kernel_weight.g4_pr_perc_sum.interaction.graph_0_ld_wloa_semantic_type_sizing,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_semantic_type.w_0,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_semantic_type.w_1,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_semantic_type.w_2,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_semantic_type.w_3,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_semantic_type.w_4,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_semantic_type.w_5,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_semantic_type.w_6,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_semantic_type.w_7,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_semantic_type.w_8,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_semantic_type.w_sum,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_semantic_type.w_0,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_semantic_type.w_1,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_semantic_type.w_2,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_semantic_type.w_3,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_semantic_type.w_4,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_semantic_type.w_5,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_semantic_type.w_6,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_semantic_type.w_7,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_semantic_type.w_8,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_semantic_type.w_sum,kernel_diagnostics.g1_pr.graph_0.ld_wloa_semantic_type.w_0,kernel_diagnostics.g1_pr.graph_0.ld_wloa_semantic_type.w_1,kernel_diagnostics.g1_pr.graph_0.ld_wloa_semantic_type.w_2,kernel_diagnostics.g1_pr.graph_0.ld_wloa_semantic_type.w_3,kernel_diagnostics.g1_pr.graph_0.ld_wloa_semantic_type.w_4,kernel_diagnostics.g1_pr.graph_0.ld_wloa_semantic_type.w_5,kernel_diagnostics.g1_pr.graph_0.ld_wloa_semantic_type.w_6,kernel_diagnostics.g1_pr.graph_0.ld_wloa_semantic_type.w_7,kernel_diagnostics.g1_pr.graph_0.ld_wloa_semantic_type.w_8,kernel_diagnostics.g1_pr.graph_0.ld_wloa_semantic_type.w_sum,kernel_diagnostics.g2_pr.graph_0.ld_wloa_semantic_type.w_0,kernel_diagnostics.g2_pr.graph_0.ld_wloa_semantic_type.w_1,kernel_diagnostics.g2_pr.graph_0.ld_wloa_semantic_type.w_2,kernel_diagnostics.g2_pr.graph_0.ld_wloa_semantic_type.w_3,kernel_diagnostics.g2_pr.graph_0.ld_wloa_semantic_type.w_4,kernel_diagnostics.g2_pr.graph_0.ld_wloa_semantic_type.w_5,kernel_diagnostics.g2_pr.graph_0.ld_wloa_semantic_type.w_6,kernel_diagnostics.g2_pr.graph_0.ld_wloa_semantic_type.w_7,kernel_diagnostics.g2_pr.graph_0.ld_wloa_semantic_type.w_8,kernel_diagnostics.g2_pr.graph_0.ld_wloa_semantic_type.w_sum,kernel_diagnostics.g3_pr.graph_0.ld_wloa_semantic_type.w_0,kernel_diagnostics.g3_pr.graph_0.ld_wloa_semantic_type.w_1,kernel_diagnostics.g3_pr.graph_0.ld_wloa_semantic_type.w_2,kernel_diagnostics.g3_pr.graph_0.ld_wloa_semantic_type.w_3,kernel_diagnostics.g3_pr.graph_0.ld_wloa_semantic_type.w_4,kernel_diagnostics.g3_pr.graph_0.ld_wloa_semantic_type.w_5,kernel_diagnostics.g3_pr.graph_0.ld_wloa_semantic_type.w_6,kernel_diagnostics.g3_pr.graph_0.ld_wloa_semantic_type.w_7,kernel_diagnostics.g3_pr.graph_0.ld_wloa_semantic_type.w_8,kernel_diagnostics.g3_pr.graph_0.ld_wloa_semantic_type.w_sum,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_semantic_type.w_0,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_semantic_type.w_1,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_semantic_type.w_2,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_semantic_type.w_3,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_semantic_type.w_4,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_semantic_type.w_5,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_semantic_type.w_6,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_semantic_type.w_7,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_semantic_type.w_8,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_semantic_type.w_sum,run,seed,runtime_sec
75,1.1367512823550907,1.0,0.0,0.0,7.7768694305145205,6.64011814815943,75,7.7768694305145205,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,56,14816.436070203781
85,0.6356891807710259,0.5592157146759686,7.796078573379843,8.862202315630583,7.275807328930456,6.64011814815943,85,7.275807328930456,37.0,,,164.25286634126678,341.92612005304545,329.44836888229474,5345,0.061636738799306784,0.6082065223632699,0.3857114124130974,0.006082065223632693,0.8149895495365748,0.17686055496805958,0.008149895495365746,0.011696665946711681,0.0342268548072946,0.9540764792459937,0.04164191619215552,0.00041641916192155484,0.9579416646459229,0.9388021547768952,0.05180982367533594,0.00938802154776895,0.011841846076820109,0.03334851823875433,0.9548096356844256,0.5961700074511809,0.3679953693626413,0.9663855640869111,0.9999999999999989,0.5662608155819909,0.44588382084082284,0.0,0.0,0.0,3.942695577323546,0.48181573728157023,0.4731511372530227,0.9775099120302201,0.9995647507525708,0.647393736092284,3.198396408832238e-18,4.87890977618477e-19,0.005686513295850282,0.0,3.585121786705518,0.5767420305302917,0.993667930981953,0.7434471051500021,0.9982579291541871,0.9109534069857878,0.0,3.996082725273129e-19,1.0441372747093757e-18,1.7947520614444108e-19,4.223068402802221,0.0,0.0,0.7720302180684632,0.9072914183012986,0.0,0.0,0.0,0.0,0.0,1.6793216363697616,0.7794335559570805,0.44860155040412214,0.3891261178812187,0.045174910664024695,0.3105215881358854,0.9978056015502674,0.9892216769510591,0.0038414848771570406,0.0,3.963726486420815,0.9635526495666387,1.0,1.0,0.0,0.47661491436804554,0.0,0.0,0.0,0.0,3.440167563934684,4,56,14816.436070203781
95,0.6356891807710259,0.5592157146759686,13.38823572013953,15.219094123340842,7.275807328930456,6.64011814815943,95,7.275807328930456,42.0,,,156.65475617581978,343.7667089388706,660.7830300326459,10686,0.061836330716137554,0.586396510360735,0.40773952453565765,0.005863965103607323,0.7273922781461146,0.15745333891661584,0.11515438293726962,0.011941409060924155,0.018656154843241877,0.9694024360958339,0.05681374389793661,0.0005681374389793645,0.942618118663084,0.9588613540649584,0.031550032394391955,0.009588613540649585,0.006562020102497671,0.4024635080786889,0.5909744718188134,0.9810735832487053,0.3225929777438595,0.9999999999999997,0.9999999999999996,0.9225705082428876,0.6361782285656357,3.5865374941198085e-17,0.0,0.0,4.862415297801087,0.9862947280180909,0.20031524075621626,0.9190353023014176,0.9929110983411138,0.748507200307836,0.0,0.0,0.0,0.0,3.847063569724675,2.32730717205787e-18,0.18151650275667952,0.9941656559037095,0.7908643048912034,0.08087370134668442,0.0,0.0,0.0,0.0,2.0474201648982766,0.0,0.0,0.0,0.42902328415032903,0.6107674253718846,0.15935813647846192,0.035517325144582834,0.0,0.4377604845385544,1.6724266556838125,1.0,0.9655675061380123,0.983642900908358,0.9626308427711396,1.0,0.013383155343390287,0.0,0.0,0.0,4.9252244051609,0.4522271689719567,0.022634625104555425,1.0,0.6214820221965018,0.49444941884962074,0.25915759742579586,0.0,0.0,0.0,2.849950832548431,4,56,14816.436070203781
105,0.6356891807710259,0.5592157146759686,18.980392866899216,21.5759859310511,7.275807328930456,6.64011814815943,105,7.275807328930456,46.0,,,160.08006565086544,298.2198925819248,948.8242721660063,15933,0.059550886346953255,0.6242501856129329,0.3695073125309379,0.006242501856129322,0.7571283654454215,0.2353003509001243,0.007571283654454211,0.011980577719723577,0.013345396184925777,0.9746740260953506,0.3853640445966466,0.0038536404459664567,0.6107823149573869,0.025483870849605676,0.08049986043237832,0.894016268718016,0.009803493850462223,0.5620203059246045,0.42817620022493325,0.8584675233524255,0.8377455218009074,0.9909486064821971,0.977995495067187,0.6486749738314305,0.7370468794570063,0.0,0.0,3.468020629169504e-18,5.050878999991154,0.0,0.6790815182594042,0.9942308577783661,0.029089952845504682,0.041201755757988796,0.0,0.0,0.0,0.07882017562765695,1.822424260268921,0.7279298863060939,0.3578441137148549,0.9967252663431154,0.9735279414214902,0.8889442781866479,0.041223229771398466,5.208299354510507e-20,4.309773883328011e-20,0.0,3.9861947157436006,0.0,0.0,0.37986199724087205,0.9239158087715715,0.0,0.0,0.0,0.0,0.0,1.3037778060124436,0.21068194434890972,0.12052352957774803,0.6602283321233942,0.9874962940410859,0.4157674201993147,0.9645388764036712,0.00012981114551128506,1.6263032587282567e-19,2.710505431213761e-20,3.359366207839635,0.5465949920153247,0.9925781063832811,0.007187372426627431,0.002626789964033381,0.5400353284947299,0.23115405841989364,0.0,0.0,0.0,2.3201766477038905,4,56,14816.436070203781
115,0.48568087373834956,0.42725342058302235,23.91273854319417,27.18283620359798,7.125799021897779,6.64011814815943,115,7.125799021897779,54.0,,,170.55484244972467,353.9866176880896,1291.2964747766964,21237,0.060804090727348326,0.6389375051651477,0.3546731197832008,0.006389375051651475,0.2665159666782305,0.7308188736549872,0.0026651596667822985,0.01209599526996137,0.01655156510802319,0.9713524396220153,0.5164024342099683,0.0051640243420996825,0.47843354144793204,0.943184959960242,0.047383190440155605,0.00943184959960242,0.2168730771673825,0.4656858950558932,0.3174410277767243,0.37999429604162976,0.7103266698944359,0.9924506960103152,0.999435179796133,1.0,0.3764396009798062,0.0,0.0,0.0,4.458646442722321,0.9865194283456781,0.3916698020230413,0.874122853950054,0.06957491593775307,0.0,0.0,0.0,0.0,0.0,2.3218870002565266,0.01441111929785727,0.38887041665163086,0.4851953392813356,0.7758865656500068,0.48871395057440453,0.0,5.440997802321871e-21,0.0,3.607558649691631e-21,2.153077391455235,0.0,0.0,1.0,0.17145478219364182,0.0,0.0,0.0,0.0,0.0,1.1714547821936419,0.9965670501643338,1.0,0.003405517622312103,0.023206083551203165,0.9946676908624321,0.023540737193336863,1.3449069329044816e-20,8.930197592446959e-21,0.0,3.041387079393618,1.0,0.7113080870102584,0.22520965905031423,0.7553594986536533,0.09026486509212545,0.06931576124738804,0.0016158147768705127,4.391018798566293e-18,0.0,2.8530736858306094,4,56,14816.436070203781
125,0.48568087373834956,0.42725342058302235,28.185272749024392,32.039644940981475,7.125799021897779,6.64011814815943,125,7.125799021897779,64.0,,,174.38925083819777,399.27489864779636,1677.2783536254428,26609,0.06303424982620327,0.7416204441225079,0.25055249795746487,0.007827057920027115,0.24025429752587985,0.7573431594988616,0.0024025429752587983,0.012104536859114052,0.00710824680238861,0.9807872163384974,0.17889811324844107,0.0017889811324843898,0.8193129056190745,0.9331505623456945,0.05751793203084854,0.009331505623456944,0.012147120484799127,0.027228066353359927,0.960624813161841,0.4278823969777623,0.383708446441835,1.0,0.9557858487098254,0.9989050568658004,0.5597099271743009,0.4773840031947669,0.0,0.0,4.803375679364291,0.9999999999999999,0.5458899303698226,0.06097525176493291,0.001333090219704329,5.957009600979348e-06,0.0,4.106417109047596e-21,7.60384366893507e-21,1.953754687305203e-21,1.6082042293640606,0.19120568522525994,0.10255761961014308,0.48571963208052227,0.8829273574004951,0.995964680837914,0.5356901916657139,5.771872531935695e-20,0.0,0.0,3.1940651668200486,0.0,2.284700899496369e-16,0.9037067719434122,0.9901419403842517,7.216449660063518e-16,0.0,0.0,0.0,0.0,1.8938487123276648,0.004870513587957519,0.998524635672267,0.0002995082195075445,0.8764993725228089,0.9566399685735552,0.005176523079071577,0.0,4.146027743399086e-20,0.0,2.8420105216551677,0.8956524219842191,0.7047665927605208,0.9617105575663838,0.9999999999999934,0.606713539739149,0.0,0.0,0.0,0.0,4.168843112050267,4,56,14816.436070203781
135,0.23894442338680122,0.21019938758438222,31.372536789861414,35.66277142660723,6.879062571546231,6.64011814815943,135,6.879062571546231,74.0,,,181.89909729594365,457.8439311673865,2119.5750184548087,32075,0.06608184001417954,0.6033330490821075,0.39063362042707134,0.006033330490821076,0.2499544717526966,0.7475459835297764,0.0024995447175269665,0.011693547009506554,0.03897286737970064,0.9493335856107928,0.006574136252086833,0.39629917278675864,0.5971266909611546,0.8389077985869581,0.1527031234271723,0.008389077985869582,0.006587008389519328,0.3961574171128882,0.5972555744975925,0.002083841751406943,0.4713699493308115,0.7017665150590698,0.7781642714444059,0.9929508449409249,0.6818979661400152,1.68088967557685e-16,0.0,0.0,3.6282333886666347,0.6135315016763532,0.963258720843134,0.11878553827490544,0.5471646675761823,0.8728891304462175,0.0,0.0,0.0,0.0,3.1156295588167926,0.3967705046032598,0.6915888809255797,0.9999999999999999,1.0,0.8206228336495709,0.0,5.0447322470068806e-18,0.0,0.0,3.9089822191784105,0.0,0.0,0.0,0.42201942479626126,0.40261845466308405,0.6386618865061712,0.997433220476228,0.577319321918045,0.6171853147011601,3.65523762306095,0.6713630259244875,0.9520559172627552,0.9948798716058034,1.0,1.0,0.21053012520823808,0.8656180297297633,0.9999999999999999,0.5373120695713791,7.231759039302426,0.0,0.8507191076892107,0.8908162145323559,1.0,1.0,0.9097122539097939,0.0,0.0,0.0,4.651247576131361,4,56,14816.436070203781
145,0.19917605629564417,0.1752151586607376,33.299609521087014,37.85337382501945,6.839294204455074,6.64011814815943,145,6.839294204455074,84.0,,,182.1347408290021,445.5448126187548,2551.233718493022,37473,0.06808191814087534,0.679321246870534,0.3138855406607607,0.006793212468705326,0.24451191713813536,0.7530429636904832,0.002445119171381346,0.01207469158006784,0.010992728513755034,0.9769325799061771,0.006544859467541395,0.3996689231311929,0.5937862174012656,0.052243742477909576,0.7089916866103326,0.23876457091175787,0.7968274793466992,0.007968274793466991,0.19520424585983395,0.15206962648901223,0.6988555463169202,0.9111567154141884,0.8882240775765855,0.8860828981249133,0.5397504798671366,0.6440386628908993,0.3686831628160426,0.0,5.088861169495698,1.0,0.30441931316371307,0.789329409247823,0.48192857733644906,0.055049439672907076,0.0,0.0,0.0,0.0,2.630726739420892,0.18385170473343668,0.07412998909487022,0.9972091017244878,0.9989266224297018,0.4745079774775991,0.9063821894977488,0.0,0.03560979633944689,0.0,3.6706173812972915,0.0,0.0,0.0,0.0,0.5642414866707585,0.17008813286202965,0.8932658743883031,0.978543367365564,0.8386431712073681,3.444782032494023,0.5061761222638628,0.0,0.6678395716547698,1.0,0.9999999999999992,0.35804595522557087,0.18779225845367756,0.0,0.008038819038527406,3.7278927266364073,8.955840990435437e-18,0.012712661712596707,8.68154153379941e-18,0.8790690751602018,0.9525653217485898,0.3006519756084068,0.9999999999999997,0.4264833285225173,0.08229408153879322,3.6537764442911054,4,56,14816.436070203781
155,0.10431925886671767,0.09176964256472342,34.634533527214316,39.37085040083126,6.7444374070261475,6.64011814815943,155,6.7444374070261475,94.0,,,179.26472833240405,405.5855006193742,2946.035316221416,42744,0.06892278018485438,0.6512624614940742,0.34222491389098497,0.00651262461494071,0.2716892135283828,0.7255938943363334,0.0027168921352838282,0.012251346964284484,0.013825794317686163,0.9739228587180294,0.012253595957229472,0.014082364801243464,0.9736640392415271,0.016658245832944965,0.43923161433907454,0.5441101398279805,0.8463861275152671,0.008463861275152681,0.14515001120958018,0.3025773238099942,0.022447293272153595,0.9782708657262768,0.9710287789754318,1.0,0.7580830585280616,0.8314719992677533,0.3736117568099331,0.35273984294510363,5.590230919334708,0.9629348209965778,0.9621916590489452,0.8602031062031092,0.13005509930148096,0.5430826762593969,0.4225048904111952,0.00047452962301839405,0.004806645250778651,0.0,3.8862534270945024,0.08975575396874842,0.8982231383818455,0.9767959633162429,0.9877781706885208,0.9051442157554285,0.5560790035285221,0.0,0.023063004819179993,0.0,4.436839250458488,0.024731363627893493,0.37246358745663183,0.7305544622988229,0.9993123627620921,1.0,0.3347112961155558,0.7517603003902245,8.006989195174515e-17,0.0,4.21353337265122,0.07046536069477971,0.14775921835136213,0.7025158244525387,0.9560645016135464,0.21790690656644912,1.0,0.0,0.0,3.1416461664264252e-18,3.094711811678676,0.0,9.974910539584762e-17,0.6052444101851888,0.9999999999999991,0.5788740197857986,0.7300692327769678,0.07904609872215743,0.0,0.11113322633864318,3.104366987808755,4,56,14816.436070203781
165,0.10431925886671767,0.09176964256472342,35.55222995286155,40.414042989498434,6.7444374070261475,6.64011814815943,165,6.7444374070261475,97.0,,,183.29259731806815,361.77130683511496,3299.40114858374,47920,0.06885227772503631,0.6223214863600337,0.3714552987763659,0.006223214863600337,0.05928787616442677,0.9388795346983352,0.0018325891372378655,0.012167598636658665,0.008773170047952385,0.9790592313153889,0.012033685020616063,0.019002283360137217,0.9689640316192467,0.012618401884362184,0.5103091564090997,0.47707244170653806,0.8676671334508489,0.00867667133450847,0.12365619521464258,0.18222428636803428,0.33970086299321983,0.9236719123192721,1.0,0.9876195518124473,0.8102282083760561,0.551790356452019,6.938893903907228e-18,9.125299879397517e-18,4.7952351783210485,0.7819130811356917,0.7922866377507478,0.8181688200079389,0.6987588694957715,0.0012648859121728011,0.0,0.0,0.016656682493016734,7.589415207398531e-19,3.1090489767953393,0.44997940177572615,0.9996534941684864,0.9967578573668309,0.9993955245155356,0.996666039864455,0.4970692064238972,0.02508326507235312,0.0196872611326186,0.0,4.984292050319903,0.07374415543661686,0.0,0.00951923407354903,0.9805239944508994,1.0,0.9128529393366336,0.03408241037472045,0.6002304658227623,0.0,3.6109531994951816,0.0,0.009986187389740856,0.16089331635632217,0.6318608336751305,0.7959615742396059,0.9876803116561402,0.00035845970194811096,0.0,0.0,2.586740683018888,0.0,2.0967495810319286e-16,0.07354509259001163,0.9999999999999999,0.7285856915704483,0.7330042378783516,0.3791319087786127,0.1286318869624485,0.0,3.0428988177798724,4,56,14816.436070203781
