n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,surrogate.recon_train.adj_precision,surrogate.recon_train.adj_recall,surrogate.recon_train.adj_f1,surrogate.recon_train.adj_edge_rate,surrogate.recon_train.feature_mae,surrogate.recon_train.feature_rmse,surrogate.recon_train.n_graphs,surrogate.recon_infill.adj_precision,surrogate.recon_infill.adj_recall,surrogate.recon_infill.adj_f1,surrogate.recon_infill.adj_edge_rate,surrogate.recon_infill.feature_mae,surrogate.recon_infill.feature_rmse,surrogate.recon_infill.n_graphs,run,seed,runtime_sec
30,0.5265902423377737,0.3100607792372386,0.6549522358144216,1.0,0.0,0.0,3.8749850105936936,0.8355706612272139,30,-3.402784537817733,,22.515153563814238,21.803906308021396,,,0.0,0,,,,,,,,,,,,,,,,,,,,,9,61,359.72998309135437
40,0.49611231538181716,0.330022365640031,0.6549522358144216,0.9421221198086558,9.710610599043278,5.113512788597955,3.192079118514912,0.8156824046144106,40,-3.580900011474833,30.0,22.515153563814238,21.803906308021396,0.4458283211570233,22.764253185829148,19.716053436743096,5333,0.0036969910813319136,0.0009177241390676845,0.03029396208929569,0.017693700044350225,30.0,60.0,0.6610741376876831,0.9638907631238302,0.7788136502106985,0.06976976369818051,0.027807294577360153,0.06175725758075714,30.0,0.6300543129444123,0.9693285882472992,0.7469338834285736,0.06714285723865032,0.02848289776593447,0.06355616003274918,10.0,9,61,359.72998309135437
50,0.39612691144687223,0.39550802949603125,0.6549522358144216,0.7522488637242585,18.18246551670785,9.5747089227414,3.1252639362629075,0.9110189006321665,50,-3.580900011474833,40.0,22.515153563814238,21.803906308021396,0.16756199696101248,20.494868783978745,37.47057700995356,10539,0.0035554205342018747,0.001457506592229504,0.03817730467476069,0.01925483387666615,40.0,80.0,0.6533191815018654,0.9652502194046975,0.7708437085151673,0.06911303708329797,0.027976195374503732,0.06220698319375515,40.0,0.6351368665695191,0.946153849363327,0.7599994778633118,0.06554622203111649,0.02925063017755747,0.06461051777005196,10.0,9,61,359.72998309135437
60,0.312230388862815,0.45045624453951466,0.6549522358144216,0.5929285500556983,24.908352585607634,13.116495424289838,3.0863109468191774,0.9851895960053663,60,-3.580900011474833,50.0,22.515153563814238,21.803906308021396,0.17377469898201525,25.2964146330487,60.047357148490846,15820,0.003795661008122051,0.0008242079933151658,0.028709022855457234,0.014431895707448126,50.0,100.0,0.6496827185153962,0.9614309453964234,0.7686748623847961,0.06839967407286167,0.02823108233511448,0.06268769010901451,50.0,0.48859319984912875,0.9265548527240753,0.6397998452186584,0.0536363635212183,0.02681795321404934,0.05671446286141872,10.0,9,61,359.72998309135437
70,0.305432400279577,0.4549086023611473,0.6549522358144216,0.5800191035132433,30.77309085345234,16.204809370001797,2.473397903215641,0.9486744702883436,70,-3.580900011474833,60.0,22.515153563814238,21.803906308021396,0.1955644879490137,16.177240165881813,73.98675031564198,19878,0.003722041971810141,4.0907552844889476e-05,0.00639590125352866,0.004242362960474649,60.0,120.0,0.6228344654043515,0.9556182632843654,0.7471956928571065,0.06593912231425444,0.027995560814936957,0.061692152234415217,60.0,0.6579234957695007,0.9756097793579102,0.7858668327331543,0.06890756636857986,0.02815524283796549,0.06220450848340988,10.0,9,61,359.72998309135437
80,0.2992993574932709,0.458925452446384,0.6549522358144216,0.5683723955167587,36.51504834860235,19.228468158866036,1.6471499788383641,1.1103999280306471,80,-3.4924416593700793,70.0,22.515153563814238,21.803906308021396,0.20727614779025316,12.840156046207994,84.75446111685596,23556,0.003597998858755984,8.428692136622469e-05,0.009180790890017302,0.005611747655260179,70.0,140.0,0.6278471840279443,0.9584741941520146,0.7527201414108277,0.06636318575058664,0.02801837253251246,0.061765345984271594,70.0,0.8619197487831116,0.9648268580436706,0.9102153003215789,0.08512466549873351,0.02881437912583351,0.06686576306819916,10.0,9,61,359.72998309135437
90,0.29258449995166796,0.46332336340643215,0.6549522358144216,0.5556208156321929,42.1350144043471,22.18788744609073,1.604551744883915,1.0475129505914194,90,-3.4924416593700793,80.0,22.515153563814238,21.803906308021396,0.22556535596959293,23.339641286991537,105.31474655563943,28847,0.003650804123674539,6.496819618751475e-05,0.008060285118252006,0.004711398872360563,80.0,160.0,0.6571062546223402,0.9592682771384716,0.7724070362746716,0.068708370719105,0.028117873356677592,0.06240289811976254,80.0,0.5609756112098694,0.9583333134651184,0.7076922655105591,0.0585365854203701,0.02670422592200339,0.05793272191658616,8.0,9,61,359.72998309135437
100,0.29258449995166796,0.46332336340643215,0.6549522358144216,0.5556208156321929,47.69122256066903,25.11373244560741,1.604551744883915,1.017958528264796,100,-3.4924416593700793,90.0,22.515153563814238,21.803906308021396,0.24603655189275742,25.560212216107175,128.14837440522388,34192,0.003747905194350254,5.1414862027467494e-05,0.007170415749973463,0.004004460151755763,90.0,180.0,0.6453643199470308,0.95900436507331,0.7643048259947035,0.06751744113862515,0.02795315734628174,0.061866181716322896,90.0,0.4722554862499237,0.9226130545139313,0.6247207641601562,0.05222222171723843,0.02699093669652939,0.05760614760220051,10.0,9,61,359.72998309135437
110,0.29258449995166796,0.46332336340643215,0.6549522358144216,0.5556208156321929,53.24743071699096,28.039577445124092,1.604551744883915,1.017958528264796,110,-3.4924416593700793,100.0,22.515153563814238,21.803906308021396,0.2584279519505799,6.018068474018946,132.8108342711348,36072,0.00368182618848788,6.963336169060763e-05,0.008344660669590324,0.004435153463177596,100.0,200.0,0.62805343657732,0.9553652340173722,0.7503464198112488,0.06598791919648647,0.027856935281306505,0.06144017830491066,100.0,0.9141304552555084,0.9260869741439819,0.9199815154075622,0.09956710040569305,0.030116469040513037,0.07195085510611535,10.0,9,61,359.72998309135437
120,0.29258449995166796,0.46332336340643215,0.6549522358144216,0.5556208156321929,58.80363887331289,30.965422444640772,1.6021745454953544,1.0428023934004558,120,-3.4924416593700793,110.0,22.515153563814238,21.803906308021396,0.282222111010924,25.97368895309046,156.05117382504977,41345,0.0037743662794787708,0.0001358640170955004,0.011656072112658723,0.005634184812226693,110.0,220.0,0.650622209906578,0.9529170128432187,0.7635756579312412,0.0686633439226584,0.02802622648464008,0.06225400045514107,110.0,0.5129415690898895,0.9550000011920929,0.6673794984817505,0.05626262687146664,0.027190233394503594,0.05866839215159416,10.0,9,61,359.72998309135437
130,0.29072748802118575,0.46453961752223555,0.6549522358144216,0.5520943318860488,64.34221461090411,33.881982384505044,1.596927136547748,0.9983860093862948,130,-3.4924416593700793,120.0,22.515153563814238,21.803906308021396,0.33888399694114923,22.02549935784191,175.29934550495818,46644,0.003758239977380975,8.829175640193962e-05,0.009396369320218294,0.004843574454742674,120.0,240.0,0.6388985420266787,0.952707347770532,0.7552517538269361,0.06761472892637053,0.027943206562971074,0.06191800935193896,120.0,0.5604938507080078,0.9784458875656128,0.7126968979835511,0.05658536553382874,0.02705057766288519,0.058355286717414856,10.0,9,61,359.72998309135437
140,0.27634425204181723,0.4739599500851694,0.6549522358144216,0.5247804266463414,69.72658840356605,36.717341084820056,1.6310834613329375,1.0371933191715828,140,-3.4924416593700793,130.0,22.515153563814238,21.803906308021396,0.3753762589767575,23.466723757097498,195.9973784466274,51767,0.0037861451976476793,1.7185119688415072e-05,0.004145493901625604,0.002900818493762728,130.0,260.0,0.632469163949673,0.9537520005152775,0.7514055747252244,0.06676053622594247,0.027876046457542825,0.06164050285632794,130.0,0.527292788028717,0.9413960874080658,0.6754725575447083,0.05580808129161596,0.02663319231942296,0.05709133576601744,4.0,9,61,359.72998309135437
150,0.27634425204181723,0.4739599500851694,0.6549522358144216,0.5247804266463414,74.97439267002947,39.48078360523823,1.6310834613329375,1.0371933191715828,150,-3.4924416593700793,140.0,22.515153563814238,21.803906308021396,0.36592782009392977,22.198400299064815,215.42591637419537,57010,0.0037787391049674685,0.0005798868640446201,0.024080840185604406,0.01207228143609699,140.0,280.0,0.6253350189753941,0.9514141700097493,0.7458814020667758,0.06604728850403002,0.027789308915713004,0.06130185467856271,140.0,0.5564456224441529,0.947169816493988,0.7010062336921692,0.06155632808804512,0.027695964463055132,0.05941216386854649,10.0,9,61,359.72998309135437
160,0.27634425204181723,0.4739599500851694,0.6549522358144216,0.5247804266463414,80.22219693649289,42.244226125656404,1.6310834613329375,1.0371933191715828,160,-3.4924416593700793,150.0,22.515153563814238,21.803906308021396,0.5553086220752448,24.833646600833163,237.50856282492168,62296,0.0038125812704655464,1.879192661849942e-05,0.004334965584465397,0.0031114706583668422,150.0,300.0,0.620742392539978,0.9511312131086985,0.7428897241751353,0.06574789114296437,0.02778308595220248,0.061175875291228296,150.0,0.5174720644950866,0.8945454478263855,0.6556384801864624,0.0555555559694767,0.027070375345647334,0.05873299539089203,10.0,9,61,359.72998309135437
170,0.27634425204181723,0.4739599500851694,0.6549522358144216,0.5247804266463414,85.47000120295631,45.00766864607458,1.6310834613329375,1.0371933191715828,170,-3.4924416593700793,160.0,22.515153563814238,21.803906308021396,0.4432274871505797,18.74138195393607,253.51307998597622,67600,0.003750193490916808,1.547136118484803e-05,0.0039333651222392295,0.002785468233622297,160.0,320.0,0.6142879970371723,0.947594602778554,0.7374365214258433,0.06511087019462139,0.027738541539292783,0.061023195297457276,160.0,0.6588628232479096,0.9706730782985687,0.7846367716789245,0.06687337309122085,0.028338251262903215,0.06232020631432533,10.0,9,61,359.72998309135437
180,0.2735091162258722,0.47581682862666014,0.6549522358144216,0.5193964761132693,90.69088571675437,47.756935487413024,1.3222428030692288,1.037474488656179,180,-3.4924416593700793,170.0,22.515153563814238,21.803906308021396,0.4256097360048443,18.667944592190906,269.4219904055353,72780,0.003701868513403893,0.00017271336257411752,0.013142045600823242,0.007313477983256061,170.0,340.0,0.6169100456378039,0.9489521601620843,0.740213006734848,0.06521454683559783,0.027773818581858102,0.0610994900631554,170.0,0.6724137663841248,0.9750000238418579,0.795918345451355,0.06722689419984818,0.02893144004046917,0.0637651689350605,10.0,9,61,359.72998309135437
190,0.2735091162258722,0.47581682862666014,0.6549522358144216,0.5193964761132693,95.88485047788706,50.49202664967174,1.3222428030692288,1.037474488656179,190,-3.4924416593700793,180.0,22.515153563814238,21.803906308021396,0.44961967994458973,15.718534405110404,282.9937284216285,76689,0.0036901475885932596,0.00010984576257975207,0.010480732921878701,0.006004147174788578,180.0,360.0,0.6199935856792662,0.9503992636998494,0.7433077477746539,0.06532634391138951,0.027838130885114273,0.061247583333816795,180.0,0.7871010541915894,0.9668067216873169,0.8659259438514709,0.08093961626291275,0.030042904801666735,0.0686683900654316,10.0,9,61,359.72998309135437
200,0.2131260807183841,0.5153648327375511,0.6549522358144216,0.4047285034607182,100.50547537575699,52.925202634393024,1.2722662798650521,1.032410331681406,200,-3.4924416593700793,190.0,22.515153563814238,21.803906308021396,0.5419553029350936,21.037356588989496,301.23652221192606,81931,0.003676709941437625,0.0010630385617393058,0.03260427213938851,0.015865564160483913,190.0,380.0,0.6287887156009674,0.9512628141202425,0.7497613370418549,0.06614809508778546,0.027954171617564402,0.06163815210916494,190.0,0.6772986710071563,0.9490485787391663,0.7719208776950837,0.07346320413053035,0.029188219271600247,0.06594844944775105,10.0,9,61,359.72998309135437
