n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_tsfc.graph_0.esp_semantic_type,kernel_weight.f0_tsfc.sizing,kernel_weight.f0_tsfc.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.g0_jet_mach.graph_0.esp_semantic_type,kernel_weight.g0_jet_mach.sizing,kernel_weight.g0_jet_mach.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.g1_pr.graph_0.esp_semantic_type,kernel_weight.g1_pr.sizing,kernel_weight.g1_pr.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.g2_pr.graph_0.esp_semantic_type,kernel_weight.g2_pr.sizing,kernel_weight.g2_pr.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.g3_pr.graph_0.esp_semantic_type,kernel_weight.g3_pr.sizing,kernel_weight.g3_pr.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.g4_pr_perc_sum.graph_0.esp_semantic_type,kernel_weight.g4_pr_perc_sum.sizing,kernel_weight.g4_pr_perc_sum.interaction.graph_0_esp_semantic_type_sizing,kernel_diagnostics.f0_tsfc.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g0_jet_mach.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g1_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g2_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g3_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g4_pr_perc_sum.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
75,2.136557745479746,1.0,0.0,0.0,8.776675893639176,6.64011814815943,75,8.776675893639176,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,12,2012,9815.083500862122
85,1.2636932302156811,0.591462240086532,7.95731120043266,17.001254878477138,7.903811378375111,6.64011814815943,85,7.903811378375111,32.0,,,64.35349906189367,266.50690422579646,253.95872469432652,5339,0.04756672123886992,0.6113925581480592,0.3824935162704602,0.006113925581480592,0.8148495268978494,0.17700197783317206,0.00814849526897843,0.3351927748018454,0.04664913333898185,0.6181580918591727,0.006089356291802938,0.3874173820154726,0.6064932616927244,0.9766078167364074,0.013626105096228474,0.009766078167364073,0.02428319812870364,0.22954195942645644,0.7461748424448399,19.999999999999993,19.999999999999993,16.029412856579278,20.000000000000004,14.77969673839692,20.000000000000014,12,2012,9815.083500862122
95,1.228238171081247,0.5748677627271228,13.788961214500935,29.460911884961778,7.868356319240677,6.64011814815943,95,7.868356319240677,42.0,,,68.53228094801307,277.10581896081567,517.4095840258524,10720,0.048265819405396676,0.009237200557938974,0.6759547319947471,0.31480806744731393,0.009194583164721774,0.6801804321798355,0.3106249846554427,0.009124242245965539,0.5244095689490071,0.4664661888050272,0.010985376994511641,0.9698075345551657,0.019207088450322738,0.013154269822212083,0.34716102609338007,0.6396847040844079,0.013766300893904673,0.045418041985010225,0.9408156571210851,8.864792391116055,12.676817840449347,12.923667525418027,9.99999999999998e-05,4.01327934951446,10.368860911922216,12,2012,9815.083500862122
105,1.1939174237852628,0.5588041916073645,19.45732098617337,41.571689859294324,7.834035571944693,6.64011814815943,105,7.834035571944693,52.0,,,74.00557090900838,255.54942624410614,763.6569974776357,15834,0.04822893756963722,0.009154168124507478,0.5243041574799905,0.46654167439550204,0.00907968237191777,0.5242420460243296,0.46667827160375275,0.02069760612383226,0.3935579613898366,0.5857444324863311,0.018647392226215476,0.7432041659106409,0.2381484418631437,0.01318857644874896,0.08243129019423062,0.9043801333570204,0.013939576017727632,0.05851283749235306,0.9275475864899193,10.886753029800145,14.443408476962313,12.044616586009198,0.0058819622857432,13.762756414750067,9.762733832732751,12,2012,9815.083500862122
115,1.1939174237852628,0.5588041916073645,25.045362902247017,53.51086409714695,7.834035571944693,6.64011814815943,115,7.834035571944693,62.0,,,87.80585398292169,216.98573625693098,971.5082074129023,20165,0.048177942346288236,0.009315534468341833,0.6777148780137552,0.31296958751790305,0.009287066973148553,0.6758326621318219,0.31488027089502957,0.009153910433009341,0.5247462923910322,0.46609979717595845,0.010976997830445413,0.9272782787504512,0.061744723419103316,0.00883579561842451,0.5225937865079489,0.4685704178736267,0.013785637587405154,0.07044064007912798,0.9157737223334669,10.835437673173775,20.000000000000004,12.434775460994471,0.0002745929645590953,3.5517402532981057,7.924137435816575,12,2012,9815.083500862122
125,1.1912513378697671,0.5575563498763669,30.627165609665674,65.4367079054221,7.831369486029197,6.64011814815943,125,7.831369486029197,65.0,,,83.12797518121079,288.8552417419851,1245.4255773983896,25598,0.0486532376513161,0.009356151659008934,0.6848493930515275,0.3057944552894635,0.009227531435767164,0.6781186099128773,0.31265385865135553,0.009121871336299603,0.5241058245911249,0.46677230407257553,0.0073526027903734895,0.35272975910551047,0.6399176381041161,0.01372849078482538,0.04393377703783918,0.9423377321773353,0.01378689456528799,0.07362637869338332,0.9125867267413287,11.218002437683865,13.75883731417883,13.074109934510734,0.0005825785713635353,3.766622948941148,9.120211005851614,12,2012,9815.083500862122
135,1.1912513378697671,0.5575563498763669,36.202729108429345,77.34922128411976,7.831369486029197,6.64011814815943,135,7.831369486029197,75.0,,,88.20117951417342,256.5258828168735,1492.6664039525203,30808,0.04845061035940406,0.009178472051075222,0.6690740288752681,0.3217474990736567,0.00914932751162081,0.5221628325912785,0.4686878398971008,0.009316147322757122,0.6712571926914326,0.31942665998581027,0.02145067657554586,0.37945235341817585,0.5990969700062783,0.014062259747269877,0.3220948966980516,0.6638428435546786,0.01345650961607539,0.06881620134122605,0.9177272890426984,11.127612842040339,17.32638016863645,11.584700307335307,0.039420654572789565,0.006506700269185632,5.732394738129094,12,2012,9815.083500862122
145,1.1912513378697671,0.5575563498763669,41.778292607193016,89.26173466281743,7.831369486029197,6.64011814815943,145,7.831369486029197,82.0,,,96.03383903531358,267.8513277908787,1749.18367605377,36099,0.048455183690788384,0.009449115853300206,0.6818085524720121,0.3087423316746877,0.013775997453419668,0.04607393582315149,0.9401500667234288,0.009365824879542932,0.6783343573366849,0.3122998177837721,0.009312989149109909,0.6832772836355226,0.3074097272153675,0.013753337703740678,0.0374282743108213,0.9488183879854379,0.01351673885095878,0.3133125309715545,0.6731707301774867,15.718001328825306,20.000000000000004,11.481529525286664,13.741003402393062,3.5637989509177164,0.0047416353240763345,12,2012,9815.083500862122
155,1.1912513378697671,0.5575563498763669,47.35385610595669,101.1742480415151,7.831369486029197,6.64011814815943,155,7.831369486029197,92.0,,,105.88175974413753,294.0328390887007,2027.0043820352294,41582,0.04874715939673968,0.00937390286046218,0.6753207168643075,0.3153053802752303,0.009436665721661793,0.6903992327012434,0.3001641015770949,0.009356218396263825,0.6744567077276716,0.31618707387606443,0.00933665877829585,0.6738815271695926,0.3167818140521115,0.013791072986998788,0.04729086987503071,0.9389180571379704,0.013919339357396213,0.0449086150187332,0.9411720456238705,11.232706890502476,19.999999999999993,11.401186375621386,12.265383353354865,3.9188675187584017,11.432557985823308,12,2012,9815.083500862122
165,1.1875797281415972,0.5558378801856049,52.92082725626655,113.06840337157192,7.827697876301027,6.64011814815943,165,7.827697876301027,102.0,,,112.26441917195916,276.6587409833446,2291.5642708139494,46904,0.04885647856928939,0.009290645091448585,0.6875307442964651,0.30317861061208634,0.013827314974237075,0.06028984140769309,0.9258828436180699,0.009317279105698285,0.6722879214981605,0.3183947993961413,0.00914833417822446,0.6846873697619377,0.3061642960598379,0.021107446283055185,0.4143285990831547,0.5645639546337902,0.013912408946388757,0.05792094960789028,0.9281666414457209,12.99878957906679,20.000000000000004,11.048851165225722,12.287072776573922,0.5719320088939945,9.810536533338853,12,2012,9815.083500862122
175,1.1875797281415972,0.5558378801856049,58.4792060581226,124.94420065298789,7.827697876301027,6.64011814815943,175,7.827697876301027,112.0,,,122.6854328867048,290.6023483136669,2568.6524100033566,52282,0.0491307220458926,0.00937088693211348,0.6828804399564937,0.3077486731113928,0.00921110287799347,0.5229522423779793,0.46783665474402725,0.009283204798781213,0.6768608897050039,0.31385590549621484,0.009378116975911817,0.6900320129124661,0.3005898701116221,0.014142088921250857,0.03818489396237161,0.9476730171163775,0.0058146502367186,0.5463705001221871,0.4478148496410944,13.081796317555913,20.000000000000004,11.667267333985171,13.203803462945721,4.322123687858325,0.0001,12,2012,9815.083500862122
185,1.1875797281415972,0.5558378801856049,64.03758485997865,136.81999793440386,7.827697876301027,6.64011814815943,185,7.827697876301027,122.0,,,130.7436188859865,261.61520146066323,2819.298292744439,57559,0.04898101587491859,0.6477643160972386,0.22428006704219894,0.12795561686056253,0.30395520881087507,0.6930052391010162,0.003039552088108741,0.37239659640840705,0.003723965964084053,0.6238794376275087,0.5620271064087102,0.18480720015011712,0.25316569344117273,0.013640632835319895,0.04530883188750637,0.9410505352771737,0.005705377384900311,0.5527083274874404,0.44158629512765923,9.824839680340101,20.000000000000014,14.650441965985042,19.23764630106854,4.374112048537954,0.0009721484471721458,12,2012,9815.083500862122
