problem,model,cv_folds,fold,budget,fit_sec,predict_train_sec,predict_test_sec,predict_test_sec_per_point,n_train,n_test
mdgnc_edge_failures,BLR,10,0,25,0.0030274325981736,0.0004295725375413,0.0561002055183053,1.2466712337401178e-05,25,4500
mdgnc_edge_failures,BLR,10,0,50,0.0019114557653665,0.0007162289693951,0.0555702364072203,1.2348941423826749e-05,50,4500
mdgnc_edge_failures,BLR,10,0,75,0.0017468901351094,0.0010182214900851,0.0559879643842577,1.2441769863168398e-05,75,4500
mdgnc_edge_failures,BLR,10,0,100,0.0017135757952928,0.0013079596683382,0.0552614824846386,1.228032944103082e-05,100,4500
mdgnc_edge_failures,BLR,10,0,125,0.001747247762978,0.0018410068005323,0.0554846050217747,1.232991222706106e-05,125,4500
mdgnc_edge_failures,BLR,10,0,150,0.0018220683559775,0.0019408939406275,0.0557516030967235,1.2389245132605235e-05,150,4500
mdgnc_edge_failures,BLR,10,0,175,0.0016557639464735,0.0022565266117453,0.0558375585824251,1.2408346351650026e-05,175,4500
mdgnc_edge_failures,BLR,10,0,200,0.0020007407292723,0.0025486573576927,0.0553880603983998,1.2308457866311071e-05,200,4500
mdgnc_edge_failures,BLR,10,0,225,0.0018033497035503,0.0028539849445223,0.0564615111798048,1.2547002484401069e-05,225,4500
mdgnc_edge_failures,BLR,10,0,250,0.0016833040863275,0.0031577572226524,0.0550734866410493,1.2238552586899865e-05,250,4500
mdgnc_edge_failures,BLR,10,0,275,0.0017055459320545,0.0034300116822123,0.0554463779553771,1.2321417323417134e-05,275,4500
mdgnc_edge_failures,BLR,10,0,300,0.0017860373482108,0.0039874203503131,0.055590427480638,1.2353428329030673e-05,300,4500
mdgnc_edge_failures,BLR,10,1,25,0.00301134865731,0.0004091653972864,0.05558727029711,1.2352726732691128e-05,25,4500
mdgnc_edge_failures,BLR,10,1,50,0.0018680971115827,0.0007096072658896,0.0560902245342731,1.2464494340949588e-05,50,4500
mdgnc_edge_failures,BLR,10,1,75,0.0021339915692806,0.0010174987837672,0.0554157653823494,1.2314614529410998e-05,75,4500
mdgnc_edge_failures,BLR,10,1,100,0.0015822201967239,0.0013165259733796,0.0553804961964488,1.230677693254418e-05,100,4500
mdgnc_edge_failures,BLR,10,1,125,0.0017566168680787,0.0016270391643047,0.0555060859769582,1.2334685772657394e-05,125,4500
mdgnc_edge_failures,BLR,10,1,150,0.0018559116870164,0.0021467451006174,0.0558554455637931,1.2412321236398483e-05,150,4500
mdgnc_edge_failures,BLR,10,1,175,0.0016900738701224,0.0023852549493312,0.0553105045109987,1.2291223224666383e-05,175,4500
mdgnc_edge_failures,BLR,10,1,200,0.0016769189387559,0.0025690784677863,0.0556218922138214,1.2360420491960313e-05,200,4500
mdgnc_edge_failures,BLR,10,1,225,0.0017412630841135,0.0028384141623973,0.0556321600452065,1.236270223226812e-05,225,4500
mdgnc_edge_failures,BLR,10,1,250,0.0016412008553743,0.003166233189404,0.05642856284976,1.2539680633280012e-05,250,4500
mdgnc_edge_failures,BLR,10,1,275,0.0024420376867055,0.003417638130486,0.054886532947421,1.2197007321649128e-05,275,4500
mdgnc_edge_failures,BLR,10,1,300,0.0016237627714872,0.003741018474102,0.0552623439580202,1.2280520879560046e-05,300,4500
mdgnc_edge_failures,BLR,10,2,25,0.0044316621497273,0.0004100780934095,0.0555342584848403,1.2340946329964532e-05,25,4500
mdgnc_edge_failures,BLR,10,2,50,0.0019808234646916,0.0007170094177126,0.0553094949573278,1.2290998879406188e-05,50,4500
mdgnc_edge_failures,BLR,10,2,75,0.0017781713977456,0.0010428735986351,0.055741342715919,1.2386965047982004e-05,75,4500
mdgnc_edge_failures,BLR,10,2,100,0.0017019109800457,0.0013279831036925,0.055217869579792,1.2270637684398227e-05,100,4500
mdgnc_edge_failures,BLR,10,2,125,0.0238818200305104,0.0040887203067541,0.0550337024033069,1.2229711645179323e-05,125,4500
mdgnc_edge_failures,BLR,10,2,150,0.0017013745382428,0.0019470239058136,0.0553192999213933,1.2293177760309643e-05,150,4500
mdgnc_edge_failures,BLR,10,2,175,0.0058316942304372,0.0022884393110871,0.0555077800527215,1.233506223393811e-05,175,4500
mdgnc_edge_failures,BLR,10,2,200,0.0017053913325071,0.0025578457862138,0.055741929449141,1.238709543314245e-05,200,4500
mdgnc_edge_failures,BLR,10,2,225,0.0017261952161788,0.0028250003233551,0.0556499091908335,1.2366646486851904e-05,225,4500
mdgnc_edge_failures,BLR,10,2,250,0.0056681083515286,0.0033397767692804,0.0552314473316073,1.2273654962579408e-05,250,4500
mdgnc_edge_failures,BLR,10,2,275,0.0016780765727162,0.0035343244671821,0.0552991004660725,1.228868899246057e-05,275,4500
mdgnc_edge_failures,BLR,10,2,300,0.0055775865912437,0.0037381844595074,0.0557998046278953,1.2399956583976746e-05,300,4500
mdgnc_edge_failures,BLR,10,3,25,0.0079338187351822,0.0004763500764966,0.0551907429471612,1.22646095438136e-05,25,4500
mdgnc_edge_failures,BLR,10,3,50,0.0058708721771836,0.000793763436377,0.0554132554680109,1.231405677066909e-05,50,4500
mdgnc_edge_failures,BLR,10,3,75,0.0060364790260791,0.0010453928261995,0.0551085388287901,1.2246341961953375e-05,75,4500
mdgnc_edge_failures,BLR,10,3,100,0.0016828570514917,0.0013290736824274,0.0584454014897346,1.2987866997718813e-05,100,4500
mdgnc_edge_failures,BLR,10,3,125,0.0060618892312049,0.0016670916229486,0.054962158203125,1.2213812934027775e-05,125,4500
mdgnc_edge_failures,BLR,10,3,150,0.0017154728993773,0.0021343799307942,0.0582677870988845,1.2948397133085462e-05,150,4500
mdgnc_edge_failures,BLR,10,3,175,0.0055616563186049,0.0022533610463142,0.0554154897108674,1.2314553269081646e-05,175,4500
mdgnc_edge_failures,BLR,10,3,200,0.0058080246672034,0.0027604093775153,0.0552960196509957,1.228800436688794e-05,200,4500
mdgnc_edge_failures,BLR,10,3,225,0.0058498112484812,0.0028611905872821,0.0557329738512635,1.2385105300280782e-05,225,4500
mdgnc_edge_failures,BLR,10,3,250,0.0016282480210065,0.0031304797157645,0.0552979782223701,1.2288439604971144e-05,250,4500
mdgnc_edge_failures,BLR,10,3,275,0.0058635668829083,0.003486786969006,0.0549948243424296,1.2221072076095476e-05,275,4500
mdgnc_edge_failures,BLR,10,3,300,0.0056885406374931,0.003767373971641,0.0548509648069739,1.2189103290438653e-05,300,4500
mdgnc_edge_failures,BLR,10,4,25,0.0029990216717123,0.0004052491858601,0.0552094429731369,1.2268765105141532e-05,25,4500
mdgnc_edge_failures,BLR,10,4,50,0.0064511410892009,0.0007179388776421,0.0551461679860949,1.2254703996909987e-05,50,4500
mdgnc_edge_failures,BLR,10,4,75,0.0063431644812226,0.0010142186656594,0.0550424484536051,1.2231655211912262e-05,75,4500
mdgnc_edge_failures,BLR,10,4,100,0.0016508242115378,0.0013128826394677,0.0555277159437537,1.233949243194527e-05,100,4500
