fit_index,output,epoch,mse,rmse,mse_scaled,rmse_scaled
1,f0_failure_rate,1,1.3359477519989014,1.155832060465058,1.3359477519989014,1.155832060465058
1,f0_failure_rate,2,0.349587341149648,0.5912591150668614,0.349587341149648,0.5912591150668614
1,f0_failure_rate,3,0.5209108789761862,0.7217415596847574,0.5209108789761862,0.7217415596847574
1,f0_failure_rate,4,0.06817642102638881,0.2611061489631924,0.06817642102638881,0.2611061489631924
1,f0_failure_rate,5,0.1675800954302152,0.409365479040692,0.1675800954302152,0.409365479040692
1,f0_failure_rate,6,0.0731566312412421,0.2704748255221585,0.0731566312412421,0.2704748255221585
1,f0_failure_rate,7,0.09628079583247502,0.31029146915839473,0.09628079583247502,0.31029146915839473
1,f0_failure_rate,8,0.06609459469715755,0.25708869033303966,0.06609459469715755,0.25708869033303966
1,f0_failure_rate,9,0.04159951458374659,0.2039595905657456,0.04159951458374659,0.2039595905657456
1,f0_failure_rate,10,0.043950699269771576,0.20964422069251415,0.043950699269771576,0.20964422069251415
1,f1_mass,1,0.7659593820571899,0.8751910546030449,0.7659593820571899,0.8751910546030449
1,f1_mass,2,0.24610596895217896,0.4960906862179323,0.24610596895217896,0.4960906862179323
1,f1_mass,3,0.19525489956140518,0.44187656597901315,0.19525489956140518,0.44187656597901315
1,f1_mass,4,0.08876825372378032,0.29794001698962885,0.08876825372378032,0.29794001698962885
1,f1_mass,5,0.07411613563696544,0.27224278803480806,0.07411613563696544,0.27224278803480806
1,f1_mass,6,0.04519029272099336,0.21258008542898219,0.04519029272099336,0.21258008542898219
1,f1_mass,7,0.04402428741256396,0.20981965449538792,0.04402428741256396,0.20981965449538792
1,f1_mass,8,0.015944565646350384,0.12627179275812309,0.015944565646350384,0.12627179275812309
1,f1_mass,9,0.024827624981602032,0.1575678424730187,0.024827624981602032,0.1575678424730187
1,f1_mass,10,0.01527175089965264,0.1235789257909804,0.01527175089965264,0.1235789257909804
2,f0_failure_rate,1,0.809508740901947,0.8997270368850472,0.809508740901947,0.8997270368850472
2,f0_failure_rate,2,0.2583147380501032,0.508246729502614,0.2583147380501032,0.508246729502614
2,f0_failure_rate,3,0.13119650073349476,0.3622105751265343,0.13119650073349476,0.3622105751265343
2,f0_failure_rate,4,0.0925016701221466,0.3041408721664134,0.0925016701221466,0.3041408721664134
2,f0_failure_rate,5,0.04950517509132624,0.22249758446177845,0.04950517509132624,0.22249758446177845
2,f0_failure_rate,6,0.047760285902768373,0.21854126819154404,0.047760285902768373,0.21854126819154404
2,f0_failure_rate,7,0.03546292847022414,0.18831603349217013,0.03546292847022414,0.18831603349217013
2,f0_failure_rate,8,0.03327359817922115,0.18241052102118768,0.03327359817922115,0.18241052102118768
2,f0_failure_rate,9,0.02433969988487661,0.15601185815468196,0.02433969988487661,0.15601185815468196
2,f0_failure_rate,10,0.018105762545019388,0.13455765509631695,0.018105762545019388,0.13455765509631695
2,f1_mass,1,0.6217118129134178,0.7884870404219829,0.6217118129134178,0.7884870404219829
2,f1_mass,2,0.3590461350977421,0.5992045853443898,0.3590461350977421,0.5992045853443898
2,f1_mass,3,0.13856992777436972,0.37224981903873333,0.13856992777436972,0.37224981903873333
2,f1_mass,4,0.10030062682926655,0.3167027420614898,0.10030062682926655,0.3167027420614898
2,f1_mass,5,0.046170707792043686,0.2148737019554596,0.046170707792043686,0.2148737019554596
2,f1_mass,6,0.07593943597748876,0.2755711087496089,0.07593943597748876,0.2755711087496089
2,f1_mass,7,0.015194302657619119,0.12326517211937489,0.015194302657619119,0.12326517211937489
2,f1_mass,8,0.03420526534318924,0.1849466553987642,0.03420526534318924,0.1849466553987642
2,f1_mass,9,0.020949936006218195,0.14474092719828138,0.020949936006218195,0.14474092719828138
2,f1_mass,10,0.01992456754669547,0.14115441029842274,0.01992456754669547,0.14115441029842274
3,f0_failure_rate,1,0.5302009284496307,0.7281489740771669,0.5302009284496307,0.7281489740771669
3,f0_failure_rate,2,0.2504842296242714,0.5004839953727506,0.2504842296242714,0.5004839953727506
3,f0_failure_rate,3,0.20894116014242173,0.4571008205444634,0.20894116014242173,0.4571008205444634
3,f0_failure_rate,4,0.1491777181625366,0.3862353144943334,0.1491777181625366,0.3862353144943334
3,f0_failure_rate,5,0.05422744639217854,0.23286787325043043,0.05422744639217854,0.23286787325043043
3,f0_failure_rate,6,0.07357941456139087,0.27125525720507404,0.07357941456139087,0.27125525720507404
3,f0_failure_rate,7,0.03648296371102333,0.19100514053559745,0.03648296371102333,0.19100514053559745
3,f0_failure_rate,8,0.02560260854661465,0.16000815150052403,0.02560260854661465,0.16000815150052403
3,f0_failure_rate,9,0.024965161830186842,0.1580036766350291,0.024965161830186842,0.1580036766350291
3,f0_failure_rate,10,0.015237325057387351,0.1234395603418424,0.015237325057387351,0.1234395603418424
3,f1_mass,1,0.5212792187929154,0.7219966889071691,0.5212792187929154,0.7219966889071691
3,f1_mass,2,0.3001087948679924,0.5478218641748359,0.3001087948679924,0.5478218641748359
3,f1_mass,3,0.12696765512228012,0.35632520977651877,0.12696765512228012,0.35632520977651877
3,f1_mass,4,0.06602032035589218,0.2569441969687041,0.06602032035589218,0.2569441969687041
3,f1_mass,5,0.01934703504666686,0.13909361971947837,0.01934703504666686,0.13909361971947837
3,f1_mass,6,0.022109259106218814,0.14869182595630068,0.022109259106218814,0.14869182595630068
3,f1_mass,7,0.018443587794899942,0.1358071713677151,0.018443587794899942,0.1358071713677151
3,f1_mass,8,0.006627759477123618,0.08141105254892371,0.006627759477123618,0.08141105254892371
3,f1_mass,9,0.005837942101061344,0.07640642709262974,0.005837942101061344,0.07640642709262974
3,f1_mass,10,0.0060938234673812985,0.07806294554640696,0.0060938234673812985,0.07806294554640696
4,f0_failure_rate,1,0.5618788922826449,0.7495858138216364,0.5618788922826449,0.7495858138216364
4,f0_failure_rate,2,0.188061635941267,0.43366073829811597,0.188061635941267,0.43366073829811597
4,f0_failure_rate,3,0.11451612102488677,0.3384023064709914,0.11451612102488677,0.3384023064709914
4,f0_failure_rate,4,0.06910341357191403,0.2628752814014928,0.06910341357191403,0.2628752814014928
4,f0_failure_rate,5,0.03783517222230633,0.1945126531162082,0.03783517222230633,0.1945126531162082
4,f0_failure_rate,6,0.025114215599993866,0.15847465286282808,0.025114215599993866,0.15847465286282808
4,f0_failure_rate,7,0.019351880842198927,0.1391110378158359,0.019351880842198927,0.1391110378158359
4,f0_failure_rate,8,0.010874812607653439,0.10428236959166894,0.010874812607653439,0.10428236959166894
4,f0_failure_rate,9,0.008828891014369825,0.0939621786378425,0.008828891014369825,0.0939621786378425
4,f0_failure_rate,10,0.006639672443270683,0.08148418523413413,0.006639672443270683,0.08148418523413413
4,f1_mass,1,0.42015892391403514,0.6481966707057628,0.42015892391403514,0.6481966707057628
4,f1_mass,2,0.11453781835734844,0.33843436344045863,0.11453781835734844,0.33843436344045863
4,f1_mass,3,0.0720324454208215,0.2683886089624921,0.0720324454208215,0.2683886089624921
4,f1_mass,4,0.06661997083574533,0.25810844781941045,0.06661997083574533,0.25810844781941045
4,f1_mass,5,0.023926435504108667,0.1546817232387481,0.023926435504108667,0.1546817232387481
4,f1_mass,6,0.01535526018900176,0.12391634351045773,0.01535526018900176,0.12391634351045773
4,f1_mass,7,0.011117485274250308,0.10543948631442733,0.011117485274250308,0.10543948631442733
4,f1_mass,8,0.008339651782686511,0.09132169393241954,0.008339651782686511,0.09132169393241954
4,f1_mass,9,0.004467427885780732,0.06683882020039501,0.004467427885780732,0.06683882020039501
4,f1_mass,10,0.0052889582778637605,0.07272522449510734,0.0052889582778637605,0.07272522449510734
5,f0_failure_rate,1,0.78455978844847,0.8857537967451621,0.78455978844847,0.8857537967451621
5,f0_failure_rate,2,0.24964013855372155,0.4996400089601728,0.24964013855372155,0.4996400089601728
5,f0_failure_rate,3,0.12936300890786306,0.35967069509186184,0.12936300890786306,0.35967069509186184
5,f0_failure_rate,4,0.04729667093072619,0.2174779780362283,0.04729667093072619,0.2174779780362283
5,f0_failure_rate,5,0.036342599163098,0.1906373498638134,0.036342599163098,0.1906373498638134
5,f0_failure_rate,6,0.021805409342050552,0.14766654780975463,0.021805409342050552,0.14766654780975463
5,f0_failure_rate,7,0.013819748402706214,0.1175574259785668,0.013819748402706214,0.1175574259785668
5,f0_failure_rate,8,0.008326804830825754,0.09125132783048011,0.008326804830825754,0.09125132783048011
5,f0_failure_rate,9,0.007241102334644113,0.08509466689895503,0.007241102334644113,0.08509466689895503
5,f0_failure_rate,10,0.005670464930257627,0.0753024895355899,0.005670464930257627,0.0753024895355899
5,f1_mass,1,0.24352768702166422,0.49348524498880836,0.24352768702166422,0.49348524498880836
5,f1_mass,2,0.07538362299757344,0.2745607819729057,0.07538362299757344,0.2745607819729057
5,f1_mass,3,0.07111117004283837,0.2666667771636324,0.07111117004283837,0.2666667771636324
5,f1_mass,4,0.03320838883519173,0.1822316899861046,0.03320838883519173,0.1822316899861046
5,f1_mass,5,0.009557464026979037,0.0977622832537121,0.009557464026979037,0.0977622832537121
5,f1_mass,6,0.007897261463637863,0.08886653736721074,0.007897261463637863,0.08886653736721074
