problem,model,cv_folds,fold,budget,fit_sec,predict_train_sec,predict_test_sec,predict_test_sec_per_point,n_train,n_test
mdgnc_edge_failures,Hierarchical,10,0,25,20.78389080800116,0.0561648001894354,0.6803494319319725,0.0001511887626515,25,4500
mdgnc_edge_failures,Hierarchical,10,0,50,38.55274163745344,0.061028248630464,1.372858563438058,0.000305079680764,50,4500
mdgnc_edge_failures,Hierarchical,10,0,75,68.39828894566745,0.075979315675795,1.9705688515678048,0.0004379041892372,75,4500
mdgnc_edge_failures,Hierarchical,10,0,100,89.8999971114099,0.0987147009000182,2.477703411132097,0.0005506007580293,100,4500
mdgnc_edge_failures,Hierarchical,10,0,125,138.33686559274793,0.1263587875291705,3.1139562018215656,0.0006919902670714,125,4500
mdgnc_edge_failures,Hierarchical,10,0,150,210.01490581501275,0.1625696532428264,3.7011281736195087,0.000822472927471,150,4500
mdgnc_edge_failures,Hierarchical,10,0,175,323.0326307127252,0.198105719871819,4.251172365620732,0.0009447049701379,175,4500
mdgnc_edge_failures,Hierarchical,10,0,200,399.8826632592827,0.2412123559042811,4.887267639860511,0.0010860594755245,200,4500
mdgnc_edge_failures,Hierarchical,10,0,225,494.55496367346495,0.290046701207757,5.352043429389596,0.0011893429843087,225,4500
mdgnc_edge_failures,Hierarchical,10,0,250,581.4872218053788,0.3419688045978546,5.90710842423141,0.0013126907609403,250,4500
mdgnc_edge_failures,Hierarchical,10,0,275,788.4165667109191,0.4409197317436337,6.929710652679205,0.0015399357005953,275,4500
mdgnc_edge_failures,Hierarchical,10,0,300,823.5514752473682,0.5130272880196571,7.569243094883859,0.0016820540210853,300,4500
mdgnc_edge_failures,Hierarchical,10,1,25,16.186383452266455,0.0558627285063266,0.615966503508389,0.000136881445224,25,4500
mdgnc_edge_failures,Hierarchical,10,1,50,40.881438196636736,0.070152286440134,1.3519174382090569,0.0003004260973797,50,4500
mdgnc_edge_failures,Hierarchical,10,1,75,57.67606938444078,0.0788396913558244,1.9489666372537613,0.0004331036971675,75,4500
mdgnc_edge_failures,Hierarchical,10,1,100,98.68862880021334,0.1021503238007426,2.687556337565184,0.0005972347416811,100,4500
mdgnc_edge_failures,Hierarchical,10,1,125,176.7834550831467,0.1353328675031662,3.3497559698298573,0.0007443902155177,125,4500
mdgnc_edge_failures,Hierarchical,10,1,150,241.57603437360376,0.1651310957968235,4.0079942205920815,0.0008906653823537,150,4500
mdgnc_edge_failures,Hierarchical,10,1,175,340.4299519015476,0.2617060160264373,4.503193500451744,0.001000709666767,175,4500
mdgnc_edge_failures,Hierarchical,10,1,200,373.2306066825986,0.2677959892898798,5.707172096706927,0.0012682604659348,200,4500
mdgnc_edge_failures,Hierarchical,10,1,225,462.62662242073566,0.2967208065092563,5.79013970028609,0.0012866977111746,225,4500
mdgnc_edge_failures,Hierarchical,10,1,250,548.5989974243566,0.3661838080734014,6.327587717212737,0.001406130603825,250,4500
mdgnc_edge_failures,Hierarchical,10,1,275,761.5357181895524,0.4499849313870072,6.9866091422736645,0.0015525798093941,275,4500
mdgnc_edge_failures,Hierarchical,10,1,300,919.0324471807108,0.5059694582596421,7.890979571267962,0.0017535510158373,300,4500
mdgnc_edge_failures,Hierarchical,10,2,25,22.36846661567688,0.0597734665498137,0.7226954568177462,0.0001605989904039,25,4500
mdgnc_edge_failures,Hierarchical,10,2,50,37.527798464521766,0.0653613032773137,1.476044655777514,0.0003280099235061,50,4500
mdgnc_edge_failures,Hierarchical,10,2,75,69.46324274875224,0.0839658305048942,2.1817272594198585,0.000484828279871,75,4500
mdgnc_edge_failures,Hierarchical,10,2,100,112.9682468092069,0.1058957558125257,2.8089629793539643,0.0006242139954119,100,4500
mdgnc_edge_failures,Hierarchical,10,2,125,165.5451413122937,0.1390856318175792,3.535759468562901,0.0007857243263473,125,4500
mdgnc_edge_failures,Hierarchical,10,2,150,272.4597271177918,0.1676619797945022,4.238709321245551,0.0009419354047212,150,4500
mdgnc_edge_failures,Hierarchical,10,2,175,323.6688115000725,0.2155592134222388,4.815665679052472,0.0010701479286783,175,4500
mdgnc_edge_failures,Hierarchical,10,2,200,422.5807667374611,0.2617716742679477,5.412998053245246,0.0012028884562767,200,4500
mdgnc_edge_failures,Hierarchical,10,2,225,591.8690719110891,0.3255697758868336,6.075733010657132,0.0013501628912571,225,4500
mdgnc_edge_failures,Hierarchical,10,2,250,640.2505194200203,0.3785437196493149,6.663321576081216,0.001480738128018,250,4500
mdgnc_edge_failures,Hierarchical,10,2,275,861.6261644111946,0.4772719442844391,7.103844134137034,0.0015786320298082,275,4500
mdgnc_edge_failures,Hierarchical,10,2,300,1031.8833685610443,0.5113731250166893,7.877345862798393,0.001750521302844,300,4500
mdgnc_edge_failures,Hierarchical,10,3,25,25.370158896781504,0.05208923202008,0.767912358045578,0.0001706471906767,25,4500
mdgnc_edge_failures,Hierarchical,10,3,50,42.428775204345584,0.0652090590447187,1.4803932076320052,0.0003289762683626,50,4500
mdgnc_edge_failures,Hierarchical,10,3,75,68.45511871669441,0.0761239016428589,1.8697322020307183,0.0004154960448957,75,4500
mdgnc_edge_failures,Hierarchical,10,3,100,112.1215671254322,0.0969977090135216,2.437092214822769,0.0005415760477383,100,4500
mdgnc_edge_failures,Hierarchical,10,3,125,130.80733464565128,0.1260225791484117,3.0639732582494617,0.0006808829462776,125,4500
mdgnc_edge_failures,Hierarchical,10,3,150,326.5509438319132,0.2611271357163787,7.483258601278067,0.0016629463558395,150,4500
mdgnc_edge_failures,Hierarchical,10,3,175,509.4501057025045,0.3920104326680302,8.78339462634176,0.0019518654725203,175,4500
mdgnc_edge_failures,Hierarchical,10,3,200,414.55391341261566,0.2400331301614642,4.816102830693126,0.0010702450734873,200,4500
mdgnc_edge_failures,Hierarchical,10,3,225,804.1809750618413,0.6005053957924247,11.254122605547307,0.002500916134566,225,4500
mdgnc_edge_failures,Hierarchical,10,3,250,990.8287808913738,0.7015694510191679,12.57136666122824,0.0027936370358284,250,4500
mdgnc_edge_failures,Hierarchical,10,3,275,751.6254697581753,0.4136382266879082,6.642128610052168,0.0014760285800115,275,4500
mdgnc_edge_failures,Hierarchical,10,3,300,591.6808172622696,0.3497727252542972,5.884883148595691,0.001307751810799,300,4500
mdgnc_edge_failures,Hierarchical,10,4,25,15.318359363824127,0.0443001762032508,0.4321964317932725,9.604365150961611e-05,25,4500
mdgnc_edge_failures,Hierarchical,10,4,50,26.83440710883588,0.0418585361912846,0.9546130262315272,0.0002121362280514,50,4500
mdgnc_edge_failures,Hierarchical,10,4,75,70.82267207186669,0.1016552504152059,3.0597719186916947,0.0006799493152648,75,4500
mdgnc_edge_failures,Hierarchical,10,4,100,137.43339712452143,0.1164008704945445,4.098507598973811,0.0009107794664386,100,4500
mdgnc_edge_failures,Hierarchical,10,4,125,149.0522004859522,0.1241279719397425,3.018030757084489,0.0006706735015743,125,4500
mdgnc_edge_failures,Hierarchical,10,4,150,250.0234070774168,0.1721933400258422,3.891284707933664,0.0008647299350963,150,4500
mdgnc_edge_failures,Hierarchical,10,4,175,258.0373360440135,0.2013480374589562,4.557458435185254,0.0010127685411522,175,4500
mdgnc_edge_failures,Hierarchical,10,4,200,320.3718525255099,0.2450957242399454,5.107568242587149,0.0011350151650193,200,4500
mdgnc_edge_failures,Hierarchical,10,4,225,372.6251395307481,0.3051503142341971,5.826746886596084,0.0012948326414657,225,4500
mdgnc_edge_failures,Hierarchical,10,4,250,668.433304564096,0.3542766040191054,6.2165894247591496,0.0013814643166131,250,4500
mdgnc_edge_failures,Hierarchical,10,4,275,995.8247131090612,0.4305457677692175,6.822134586982429,0.0015160299082183,275,4500
mdgnc_edge_failures,Hierarchical,10,4,300,1102.107762816362,0.5023790542036295,7.541090028360486,0.0016757977840801,300,4500
mdgnc_edge_failures,Hierarchical,10,5,25,20.086528901942074,0.0568271074444055,0.6704330770298839,0.0001489851282288,25,4500
mdgnc_edge_failures,Hierarchical,10,5,50,30.182916823774576,0.0620125364512205,1.3172025196254251,0.0002927116710278,50,4500
mdgnc_edge_failures,Hierarchical,10,5,75,60.61846159491688,0.0830757934600114,2.032051380723715,0.0004515669734941,75,4500
mdgnc_edge_failures,Hierarchical,10,5,100,112.51941193826497,0.1032360652461648,2.638555238954723,0.0005863456086566,100,4500
mdgnc_edge_failures,Hierarchical,10,5,125,185.41762291174385,0.1278453851118683,3.1868517799302936,0.0007081892844289,125,4500
mdgnc_edge_failures,Hierarchical,10,5,150,173.8209323985502,0.1706144316121935,3.8479712875559926,0.0008551047305679,150,4500
mdgnc_edge_failures,Hierarchical,10,5,175,260.4406761592254,0.2042497619986534,4.494688332080841,0.0009988196293512,175,4500
mdgnc_edge_failures,Hierarchical,10,5,200,432.71270506829023,0.2538272570818662,5.003282073885202,0.0011118404608633,200,4500
mdgnc_edge_failures,Hierarchical,10,5,225,612.0249951565638,0.2895025555044412,5.62313293106854,0.001249585095793,225,4500
mdgnc_edge_failures,Hierarchical,10,5,250,620.3325803447515,0.3487736154347658,6.160443267785013,0.0013689873928411,250,4500
mdgnc_edge_failures,Hierarchical,10,5,275,695.6304710302502,0.4228973509743809,6.738489420153201,0.0014974420933673,275,4500
mdgnc_edge_failures,Hierarchical,10,5,300,908.5694485371932,0.4863545661792159,7.408642342314124,0.0016463649649586,300,4500
mdgnc_edge_failures,Hierarchical,10,6,25,23.038736211135983,0.0553287100046873,0.650501687079668,0.0001445559304621,25,4500
